locationid,latitude,longitude,stationname,parentcity,sourceurl
951,18.740535,109.181792,"Land Environment and Resources Bureau , Ledongxian",%E4%B9%90%E4%B8%9C%E5%8E%BF,http://aqicn.org/?city=China/%E4%B9%90%E4%B8%9C%E5%8E%BF/%E5%9B%BD%E5%9C%9F%E7%8E%AF%E5%A2%83%E8%B5%84%E6%BA%90%E5%B1%80
952,29.824714,106.383015,"Jinyun Mountain, Chongqing",china,http://aqicn.org/city/china/zhongqing/jinyunshan/
953,29.571004,106.463961,"Gaojia Garden, Chongqing",china,http://aqicn.org/city/china/zhongqing/gaojiahuayuan/
954,29.823915,106.428032,"Tiansheng, Chongqing",china,http://aqicn.org/city/china/zhongqing/tiansheng/
955,29.595635,106.299819,"Huqi, Chongqing",china,http://aqicn.org/city/china/zhongqing/huxi/
956,29.51576,106.543738,"Nanping, Chongqing",china,http://aqicn.org/city/china/zhongqing/nanping/
957,29.47961,106.367969,"Baishiyi, Chongqing",china,http://aqicn.org/city/china/zhongqing/baishiyi/
958,29.561321,106.574692,"Liberation Monument, Chongqing",china,http://aqicn.org/city/china/zhongqing/jiefangbei/
959,29.513635,106.515811,"Yangjiaping, Chongqing",china,http://aqicn.org/city/china/zhongqing/yangjiaping/
960,29.709652,106.620717,"Konggang, Chongqing",china,http://aqicn.org/city/china/zhongqing/konggang/
961,29.486551,106.471936,"Xinshan village, Chongqing",china,http://aqicn.org/city/china/zhongqing/xinshancun/
962,29.642458,106.565707,"Lijia, Chongqing",china,http://aqicn.org/city/china/zhongqing/lijia/
963,29.506441,106.51282,"Yuxin Street, Chongqing",china,http://aqicn.org/city/china/zhongqing/yuxinjie/
964,29.424246,106.594678,"Caijia, Chongqing",china,http://aqicn.org/city/china/zhongqing/caijia/
965,29.560161,106.555275,Chongqing,chongqing,http://aqicn.org/city/chongqing/
966,26.565355,106.700834,"City EPA station, Guiyang",china,http://aqicn.org/city/china/guiyang/shihuanbaozhan/
967,26.622925,106.627857,"Jinyang New District, Guiyang",china,http://aqicn.org/city/china/guiyang/jinyangxinqu/
968,26.630797,106.752525,"Wudang District, Guiyang",china,http://aqicn.org/city/china/guiyang/wudangqu/
969,26.43281,106.659016,"Huaxi District, Guiyang",china,http://aqicn.org/city/china/guiyang/huaxiqu/
970,26.511961,106.698525,"Xiaohe District, Guiyang",china,http://aqicn.org/city/china/guiyang/xiaohequ/
971,26.597371,106.714267,"Hongbianmen, Guiyang",china,http://aqicn.org/city/china/guiyang/hongbianmen/
972,26.566183,106.720177,"Yejingting, Guiyang",china,http://aqicn.org/city/china/guiyang/yejinting/
973,26.54594,106.690406,"Taici Bridge, Guiyang",china,http://aqicn.org/city/china/guiyang/taiciqiao/
974,26.296842,106.808788,"Tongmuling, Guiyang",china,http://aqicn.org/city/china/guiyang/tongmuling/
975,26.643992,106.633723,Guiyang,guiyang,http://aqicn.org/city/guiyang/
976,27.716461,106.921584,"Gantianba, Zunyi",china,http://aqicn.org/city/china/zunyi/gantianba/
977,27.645076,106.894335,"Zhongzhuang, Zunyi",china,http://aqicn.org/city/china/zunyi/zhongzhuang/
