locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,19,32,27,6,2,3,-2,-20,1030,25,6,20141216170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,23,40,22,9,7,3,-3,-20,1031,26,3,20141216170000
3,West Park officials,,39.930333,116.345162,33,34,23,12,4,3,-3,-20,1031,26,4,20141216170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,51,42,27,10,6,3,-3,-20,1031,26,4,20141216170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,28,37,23,6,2,4,-2,-19,1032,27,9,20141216170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,30,11,30,8,3,3,-4,-21,1033,26,7,20141216170000
7,Haidian Wanliu,,39.988245,116.293062,16,16,19,3,4,3,-4,-21,1033,26,7,20141216170000
8,The Haidian northern New Area,,40.091313,116.180194,38,50,21,5,6,3,-3,-20,1031,26,4,20141216170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,38,40,28,1,4,3,-2,-20,1030,25,6,20141216170000
10,Fengtai garden,,39.86423,116.285037,23,59,19,12,4,4,-3,-20,1031,26,4,20141216170000
11,Fengtai Yungang,,39.82535,116.152237,13,15,18,4,2,2,-5,-18,1031,36,5,20141216170000
12,Shijingshan city,,39.915286,116.190144,34,34,28,6,4,3,-3,-21,1030,24,5,20141216170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,16,14,15,2,2,3,-5,-19,1032,33,3,20141216170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,26,12,23,3,5,3,-5,-19,1032,33,5,20141216170000
15,BDA,,39.796197,116.51197,44,29,28,7,5,4,-4,-21,1034,26,6,20141216170000
16,Tongzhou New Town,,39.887113,116.6689,34,40,15,7,8,2,-2,-19,1032,27,9,20141216170000
17,Shunyi New Town ,,40.128111,116.660908,31,15,22,2,5,5,-1,-20,1031,23,9,20141216170000
18,Changping Town,,40.218245,116.236084,51,44,24,7,6,4,-1,-20,1031,23,9,20141216170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,13,30,24,1,3,3,-4,-21,1034,26,7,20141216170000
20,Pinggu town,,40.144433,117.106563,22,11,22,5,2,3,-5,-19,1032,33,3,20141216170000
21,Huairou town,,40.329104,116.63387,19,5,32,1,2,3,-5,-19,1032,33,3,20141216170000
22,The town of Miyun,,40.371186,116.838053,58,34,18,17,4,6,-5,-19,1032,33,5,20141216170000
