locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,287,147,44,39,14,22,15,15,1021,100,2,20141010170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,317,141,37,61,7,20,15,15,1021,100,2,20141010170000
3,West Park officials,,39.930333,116.345162,352,158,30,49,7,24,15,15,1021,100,2,20141010170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,312,183,34,51,3,22,15,15,1021,100,2,20141010170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,382,178,35,36,11,17,15,15,1021,100,2,20141010170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,368,215,38,50,8,20,15,15,1021,100,2,20141010170000
7,Haidian Wanliu,,39.988245,116.293062,404,195,4,67,6,25,15,15,1021,100,2,20141010170000
8,The Haidian northern New Area,,40.091313,116.180194,-,171,18,44,8,20,21,15,1020,68,2,20141010170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,356,-,27,25,6,20,15,14,1021,94,1,20141010170000
10,Fengtai garden,,39.86423,116.285037,365,-,31,71,6,24,15,14,1021,94,1,20141010170000
11,Fengtai Yungang,,39.82535,116.152237,388,-,35,90,8,18,15,14,1021,94,1,20141010170000
12,Shijingshan city,,39.915286,116.190144,384,268,9,61,3,34,15,15,1021,100,2,20141010170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,398,327,19,73,4,23,15,14,1021,94,1,20141010170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,397,-,41,50,7,22,15,14,1021,94,1,20141010170000
15,BDA,,39.796197,116.51197,351,-,74,28,9,19,15,14,1021,94,1,20141010170000
16,Tongzhou New Town,,39.887113,116.6689,333,274,37,57,6,18,15,14,1021,94,1,20141010170000
17,Shunyi New Town ,,40.128111,116.660908,347,174,35,30,5,33,15,15,1021,100,2,20141010170000
18,Changping Town,,40.218245,116.236084,394,-,31,44,5,25,15,15,1021,100,2,20141010170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,360,-,12,46,2,22,15,14,1021,94,1,20141010170000
20,Pinggu town,,40.144433,117.106563,367,-,50,17,14,44,15,14,1021,94,1,20141010170000
21,Huairou town,,40.329104,116.63387,320,158,33,17,2,31,15,15,1021,100,2,20141010170000
22,The town of Miyun,,40.371186,116.838053,389,-,37,48,9,36,15,14,1021,94,1,20141010170000
23,Yanqing town,,40.454217,115.978106,361,-,42,42,3,16,15,14,1021,94,1,20141010170000
24,Changping Dingling,,40.293269,116.226108,337,-,36,11,4,22,15,15,1021,100,2,20141010170000
25,Badaling Northwest,,40.36623,115.994146,354,-,44,31,21,21,15,14,1021,94,1,20141010170000
26,Miyun Reservoir,,40.500157,116.91701,363,-,104,5,18,29,15,14,1021,94,1,20141010170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,308,-,68,26,32,39,15,14,1021,94,1,20141010170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,311,220,35,30,12,17,15,14,1021,94,1,20141010170000
29,"Yufazhen, Daxing",,39.521203,116.306026,350,-,43,18,2,17,15,14,1021,94,1,20141010170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,307,175,28,37,16,15,15,14,1021,94,1,20141010170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,418,-,27,59,2,22,15,14,1021,94,1,20141010170000
32,Yongdingmen Inner St,,39.877401,116.400238,406,141,20,70,7,25,15,14,1021,94,1,20141010170000
33,Xizhimen N St,,39.955352,116.355187,501,-,29,63,9,24,15,14,1021,94,1,20141010170000
34,South Ring Road,,39.857377,116.37421,349,-,4,66,10,25,15,14,1021,94,1,20141010170000
35,East Fourth Ring Road,,39.940273,116.489075,406,-,13,77,4,23,15,14,1021,94,1,20141010170000
36,Beijing,,39.955906,116.474246,378,160,38,50,8,20,15,15,1021,100,2,20141010170000
37,Putuo,,31.232979,121.415378,118,53,48,13,5,4,20,18,1017,88,4,20141010170000
38,Yangpu Sipiao,,31.263795,121.540311,112,48,63,12,5,7,20,18,1017,88,4,20141010170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,113,48,52,9,4,8,20,18,1017,88,4,20141010170000
40,Dianshan Lake,,31.091338,120.982293,158,62,50,11,8,6,20,18,1017,88,4,20141010170000
41,Hongkou Liangcheng,,31.298906,121.47155,111,44,50,15,6,5,20,18,1017,88,4,20141010170000
42,Jingan,,31.224251,121.429637,123,47,49,17,9,6,20,18,1017,88,4,20141010170000
43,Shanghai Normal University,,31.163531,121.416643,107,42,55,12,7,7,20,18,1017,88,4,20141010170000
44,Chuansha,,31.188626,121.707342,91,36,70,11,8,5,20,18,1017,88,4,20141010170000
45,Zhangjiang,,31.204896,121.581215,88,38,80,8,4,6,20,18,1017,88,4,20141010170000
46,Lingshan Road,,31.226286,121.537317,99,46,84,12,10,5,20,18,1017,88,4,20141010170000
1080,City average,,31.228451,121.478227,106,45,60,12,7,6,20,18,1017,88,4,20141010170000
47,Shanghai,,31.202842,121.453493,123,48,52,17,9,8,20,18,1017,88,4,20141010170000
48,Guangzhou,,23.138517,113.263701,102,52,23,30,6,11,27,17,1011,54,2,20141010170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,117,51,46,11,6,4,26,16,1011,54,2,20141010170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,139,74,35,29,10,8,26,16,1011,54,2,20141010170000
51,"LuHu, Guangzhou",,23.151743,113.281842,99,52,23,29,6,6,26,16,1011,54,2,20141010170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,89,41,62,5,7,7,27,17,1011,54,2,20141010170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,151,74,45,31,22,5,26,16,1011,54,2,20141010170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,74,53,30,28,9,5,26,16,1011,54,2,20141010170000
55,Zhuhai,,22.2677,113.581765,159,110,55,48,13,14,26,19,1010,65,4,20141010170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,139,62,35,28,14,6,26,16,1011,54,2,20141010170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,154,68,33,38,26,7,26,16,1011,54,2,20141010170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,122,54,36,28,7,7,26,16,1011,54,2,20141010170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,153,56,18,27,12,9,26,16,1011,54,2,20141010170000
1087,Foshan,,23.018995,113.126899,139,62,36,28,14,7,27,17,1011,54,2,20141010170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,134,59,33,24,7,8,26,16,1011,54,2,20141010170000
60,Shunde,,22.80246,113.298701,134,59,33,34,14,8,-,-,0,-,-,20141010170000
61,"Donghu, Jiangmen",,22.590411,113.087351,172,80,32,48,14,5,26,19,1010,65,4,20141010170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,154,76,42,20,18,6,26,19,1010,65,4,20141010170000
63,Jiangmen,,22.576047,113.087351,172,80,44,48,18,16,26,19,1010,65,4,20141010170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,149,69,42,10,6,9,26,16,1011,54,2,20141010170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,127,55,27,22,6,8,26,16,1011,54,2,20141010170000
67,Zhaoqing,,23.044571,112.470346,127,63,27,33,7,14,27,17,1011,54,2,20141010170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,-,-,-,-,-,-,-,-,0,-,-,20141010170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,104,55,34,6,8,4,26,18,1010,61,2,20141010170000
69,"Xijiao, Huizhou",,23.338178,114.112867,91,30,23,9,3,7,26,18,1010,61,2,20141010170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,74,48,33,6,8,6,26,18,1010,61,2,20141010170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,114,53,36,10,6,12,26,18,1010,61,2,20141010170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,114,56,34,12,8,5,26,18,1010,61,2,20141010170000
73,Huizhou,,23.109349,114.421164,104,55,37,6,8,6,26,18,1010,61,2,20141010170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,122,55,25,20,11,7,26,18,1010,61,2,20141010170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,122,50,29,17,6,6,26,18,1010,61,2,20141010170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,122,45,20,31,5,5,26,18,1010,61,2,20141010170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,122,50,31,10,9,9,26,18,1010,61,2,20141010170000
78,Dongguan,,23.017813,113.756958,122,55,31,31,11,9,26,18,1010,61,2,20141010170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,155,67,28,34,12,10,26,19,1010,65,4,20141010170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,132,48,37,6,4,12,26,19,1010,65,4,20141010170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,154,61,18,34,13,18,26,19,1010,65,4,20141010170000
82,Zhongshan,,22.513997,113.398277,155,76,37,34,28,18,26,19,1010,65,4,20141010170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,124,56,23,12,15,10,20,16,1013,76,2,20141010170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,124,56,23,12,15,10,20,16,1013,76,2,20141010170000
84,"Forest area, Shaoguan",,24.796107,113.612131,134,53,29,5,12,11,20,16,1013,76,2,20141010170000
84,"Forest area, Shaoguan",,24.796106,113.612131,134,53,29,5,12,11,20,16,1013,76,2,20141010170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,127,47,24,12,8,9,20,16,1013,76,2,20141010170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,127,47,24,12,8,9,20,16,1013,76,2,20141010170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,152,110,21,36,13,11,20,16,1013,76,2,20141010170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,152,110,21,36,13,11,20,16,1013,76,2,20141010170000
89,Shaoguan,,24.807342,113.602712,154,110,40,36,15,13,20,16,1013,76,2,20141010170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,119,70,31,12,10,7,24,22,1010,89,2,20141010170000
91,Shantou,,23.350642,116.686306,93,53,40,12,9,8,24,22,1010,89,2,20141010170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,154,91,50,31,13,8,22,19,1011,78,1,20141010170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,154,81,48,23,13,11,22,19,1011,78,1,20141010170000
