locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,151,-,48,15,3,7,32,24,1001,62,4,20140720170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,147,67,97,15,2,6,32,24,1001,62,4,20140720170000
3,West Park officials,,39.930333,116.345162,144,62,69,11,2,8,32,24,1001,62,4,20140720170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,134,64,70,16,2,7,32,24,1001,62,4,20140720170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,137,-,53,14,2,4,32,24,1001,62,4,20140720170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,132,66,61,17,2,7,32,24,1001,62,4,20140720170000
7,Haidian Wanliu,,39.988245,116.293062,145,78,46,17,6,5,32,24,1001,62,4,20140720170000
8,The Haidian northern New Area,,40.091313,116.180194,151,55,51,7,6,6,32,24,1001,62,4,20140720170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,154,-,106,13,2,8,32,24,1001,62,4,20140720170000
10,Fengtai garden,,39.86423,116.285037,144,66,48,23,2,7,32,24,1001,62,4,20140720170000
11,Fengtai Yungang,,39.82535,116.152237,149,73,65,13,2,8,32,24,1001,62,4,20140720170000
12,Shijingshan city,,39.915286,116.190144,153,104,66,22,2,8,32,24,1001,62,4,20140720170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,128,75,41,19,2,8,32,24,1001,62,4,20140720170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,155,-,76,12,3,5,32,24,1001,62,4,20140720170000
15,BDA,,39.796197,116.51197,151,-,50,14,2,5,32,24,1001,62,4,20140720170000
16,Tongzhou New Town,,39.887113,116.6689,142,72,41,22,2,5,32,24,1001,62,4,20140720170000
17,Shunyi New Town ,,40.128111,116.660908,122,62,70,14,3,6,32,24,1001,62,4,20140720170000
18,Changping Town,,40.218245,116.236084,157,76,100,18,3,8,32,24,1001,62,4,20140720170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,152,-,84,16,2,8,32,24,1001,62,4,20140720170000
20,Pinggu town,,40.144433,117.106563,158,-,81,-,2,7,32,24,1001,62,4,20140720170000
21,Huairou town,,40.329104,116.63387,161,75,78,6,2,7,32,24,1001,62,4,20140720170000
22,The town of Miyun,,40.371186,116.838053,111,-,118,7,3,6,32,24,1001,62,4,20140720170000
23,Yanqing town,,40.454217,115.978106,183,-,86,8,2,9,32,24,1001,62,4,20140720170000
24,Changping Dingling,,40.293269,116.226108,163,77,123,12,3,8,32,24,1001,62,4,20140720170000
25,Badaling Northwest,,40.36623,115.994146,182,-,65,49,3,11,32,24,1001,62,4,20140720170000
