locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,15,22,16,13,3,4,12,-8,1021,24,11,20141101170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,34,31,14,12,3,4,12,-8,1021,24,11,20141101170000
3,West Park officials,,39.930333,116.345162,42,20,14,9,2,3,12,-8,1021,24,11,20141101170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,20,23,17,8,3,3,12,-8,1021,24,11,20141101170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,38,20,10,12,2,3,12,-8,1021,24,11,20141101170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,38,28,13,18,2,3,12,-8,1021,24,11,20141101170000
7,Haidian Wanliu,,39.988245,116.293062,21,22,14,12,4,3,12,-8,1021,24,11,20141101170000
8,The Haidian northern New Area,,40.091313,116.180194,26,27,18,6,6,2,12,-8,1021,24,11,20141101170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,45,17,29,2,3,3,12,-8,1021,24,11,20141101170000
10,Fengtai garden,,39.86423,116.285037,55,35,9,15,3,4,12,-8,1021,24,11,20141101170000
11,Fengtai Yungang,,39.82535,116.152237,25,18,23,5,3,2,12,-8,1021,24,11,20141101170000
12,Shijingshan city,,39.915286,116.190144,25,7,18,6,3,4,12,-8,1021,24,11,20141101170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,29,36,13,5,3,5,12,-8,1021,24,11,20141101170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,52,44,10,9,3,4,12,-8,1021,24,11,20141101170000
15,BDA,,39.796197,116.51197,48,47,18,17,2,4,12,-8,1021,24,11,20141101170000
16,Tongzhou New Town,,39.887113,116.6689,31,83,12,11,2,3,12,-8,1021,24,11,20141101170000
17,Shunyi New Town ,,40.128111,116.660908,15,14,9,5,2,3,12,-8,1021,24,11,20141101170000
18,Changping Town,,40.218245,116.236084,31,31,9,20,2,4,12,-8,1021,24,11,20141101170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,37,20,17,4,3,3,12,-8,1021,24,11,20141101170000
20,Pinggu town,,40.144433,117.106563,44,27,11,9,2,4,12,-8,1021,24,11,20141101170000
21,Huairou town,,40.329104,116.63387,13,16,21,2,2,2,12,-8,1021,24,11,20141101170000
22,The town of Miyun,,40.371186,116.838053,24,7,5,3,2,14,12,-8,1021,24,11,20141101170000
23,Yanqing town,,40.454217,115.978106,51,5,24,4,2,6,12,-8,1021,24,11,20141101170000
24,Changping Dingling,,40.293269,116.226108,16,5,22,2,2,3,12,-8,1021,24,11,20141101170000
25,Badaling Northwest,,40.36623,115.994146,45,28,20,8,3,3,12,-8,1021,24,11,20141101170000
26,Miyun Reservoir,,40.500157,116.91701,19,5,28,1,2,2,12,-8,1021,24,11,20141101170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,57,19,13,20,2,3,12,-8,1021,24,11,20141101170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,47,60,6,23,3,4,12,-8,1021,24,11,20141101170000
29,"Yufazhen, Daxing",,39.521203,116.306026,35,66,9,1,2,7,12,-8,1021,24,11,20141101170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,20,11,17,7,2,12,12,-8,1021,24,11,20141101170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,37,25,8,13,2,4,12,-8,1021,24,11,20141101170000
32,Yongdingmen Inner St,,39.877401,116.400238,45,28,20,14,4,3,12,-8,1021,24,11,20141101170000
33,Xizhimen N St,,39.955352,116.355187,42,27,-,-,-,-,12,-8,1021,24,11,20141101170000
34,South Ring Road,,39.857377,116.37421,62,25,2,32,2,5,12,-8,1021,24,11,20141101170000
35,East Fourth Ring Road,,39.940273,116.489075,52,29,-,-,-,-,12,-8,1021,24,11,20141101170000
36,Beijing,,39.955906,116.474246,42,22,16,13,3,4,12,-8,1021,24,11,20141101170000
37,Putuo,,31.232979,121.415378,97,34,10,25,7,7,18,16,1017,88,3,20141101170000
38,Yangpu Sipiao,,31.263795,121.540311,120,40,13,33,6,9,18,16,1017,88,3,20141101170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,139,51,13,24,5,9,18,16,1017,88,3,20141101170000
40,Dianshan Lake,,31.091338,120.982293,102,35,12,24,28,9,18,16,1017,88,3,20141101170000
41,Hongkou Liangcheng,,31.298906,121.47155,102,40,10,26,8,10,18,16,1017,88,3,20141101170000
42,Jingan,,31.224251,121.429637,110,40,12,23,9,10,18,16,1017,88,3,20141101170000
43,Shanghai Normal University,,31.163531,121.416643,96,34,9,31,4,10,18,16,1017,88,3,20141101170000
44,Chuansha,,31.188626,121.707342,113,39,17,25,6,6,18,16,1017,88,3,20141101170000
45,Zhangjiang,,31.204896,121.581215,89,30,13,31,5,7,18,16,1017,88,3,20141101170000
46,Lingshan Road,,31.226286,121.537317,89,45,7,29,5,5,18,16,1017,88,3,20141101170000
1080,City average,,31.228451,121.478227,105,39,12,27,6,8,18,16,1017,88,3,20141101170000
47,Shanghai,,31.202842,121.453493,97,32,11,28,5,9,18,16,1017,88,3,20141101170000
48,Guangzhou,,23.138517,113.263701,171,90,44,49,12,12,26,23,1013,83,0,20141101170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,190,107,146,37,16,10,26,23,1013,83,0,20141101170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,190,135,48,61,8,7,26,23,1013,83,0,20141101170000
51,"LuHu, Guangzhou",,23.151743,113.281842,176,94,29,63,5,14,26,23,1013,83,0,20141101170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,170,89,203,8,10,8,26,22,1013,78,1,20141101170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,190,107,113,37,16,11,26,22,1013,78,1,20141101170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,153,90,88,47,13,8,26,23,1013,83,0,20141101170000
55,Zhuhai,,22.2677,113.581765,102,38,31,7,2,7,25,22,1013,83,2,20141101170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,152,67,103,33,15,9,26,22,1013,78,1,20141101170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,173,86,82,57,26,13,26,22,1013,78,1,20141101170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,144,57,51,29,14,16,26,22,1013,78,1,20141101170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,171,83,74,68,19,11,26,22,1013,78,1,20141101170000
1087,Foshan,,23.018995,113.126899,144,57,51,29,14,16,26,22,1013,78,1,20141101170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,154,62,48,12,11,13,26,22,1013,78,1,20141101170000
60,Shunde,,22.80246,113.298701,134,63,44,24,12,9,-,-,0,-,-,20141101170000
61,"Donghu, Jiangmen",,22.590411,113.087351,109,40,47,15,6,6,25,22,1013,83,3,20141101170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,157,80,60,16,16,10,25,22,1013,83,3,20141101170000
63,Jiangmen,,22.576047,113.087351,109,40,47,15,6,6,25,22,1013,83,2,20141101170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,168,77,134,13,11,10,26,22,1013,78,1,20141101170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,169,100,49,40,10,14,26,22,1013,78,1,20141101170000
67,Zhaoqing,,23.044571,112.470346,174,84,127,12,12,6,26,22,1013,78,1,20141101170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,129,66,64,6,5,5,26,23,1014,83,3,20141101170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,147,68,46,10,5,3,26,23,1014,83,3,20141101170000
69,"Xijiao, Huizhou",,23.338178,114.112867,153,58,42,13,3,7,26,23,1014,83,3,20141101170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,139,71,85,13,6,4,26,23,1014,83,3,20141101170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,104,35,52,7,6,7,26,23,1014,83,3,20141101170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,109,63,62,15,6,4,26,23,1014,83,3,20141101170000
73,Huizhou,,23.109349,114.421164,139,71,85,13,6,4,26,23,1014,83,3,20141101170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,163,89,139,27,5,9,26,23,1014,83,3,20141101170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,154,59,106,22,6,7,26,23,1014,83,3,20141101170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,151,55,62,12,8,7,26,23,1014,83,3,20141101170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,153,53,125,22,9,9,26,23,1014,83,3,20141101170000
78,Dongguan,,23.017813,113.756958,153,53,125,22,9,9,26,23,1014,83,3,20141101170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,147,59,50,5,11,5,25,22,1011,83,3,20141101170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,127,50,22,12,3,6,25,22,1013,83,3,20141101170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,129,53,31,15,8,11,25,22,1013,83,3,20141101170000
82,Zhongshan,,22.513997,113.398277,132,53,31,16,8,17,25,22,1013,83,3,20141101170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,95,49,28,11,12,12,22,15,1016,54,3,20141101170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,95,49,28,11,12,12,22,15,1016,54,3,20141101170000
84,"Forest area, Shaoguan",,24.796106,113.612131,137,55,31,6,11,11,22,15,1016,54,3,20141101170000
84,"Forest area, Shaoguan",,24.796107,113.612131,137,55,31,6,11,11,22,15,1016,54,3,20141101170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,137,64,33,11,18,8,22,15,1016,54,3,20141101170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,137,64,33,11,18,8,22,15,1016,54,3,20141101170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,109,53,36,18,21,13,22,15,1016,54,3,20141101170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,109,53,36,18,21,13,22,15,1016,54,3,20141101170000
89,Shaoguan,,24.807342,113.602712,137,55,31,6,11,11,22,15,1016,54,3,20141101170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,102,67,43,9,4,7,24,22,1015,89,0,20141101170000
91,Shantou,,23.350642,116.686306,78,30,45,7,3,11,24,22,1015,89,0,20141101170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,63,28,31,6,3,6,23,21,1014,86,1,20141101170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,68,37,25,6,4,3,23,21,1014,86,1,20141101170000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,61,25,27,5,7,6,23,21,1014,86,1,20141101170000
95,"Zhanjiang Theatre, Zhanjiang",,21.268177,110.366445,80,51,25,12,4,21,23,21,1014,86,1,20141101170000
96,"Mazhang EPA, Zhanjiang",,21.265486,110.335993,72,30,11,8,5,10,23,21,1014,86,1,20141101170000
97,"Potou District EPB, Zhanjiang",,21.247604,110.454508,68,44,30,9,2,11,23,21,1014,86,1,20141101170000
98,Zhanjiang,,21.26832,110.363883,80,51,25,12,7,21,23,21,1014,86,1,20141101170000
99,"Maogang sub-office EPB, Maoming",,21.466435,111.033462,87,48,30,3,3,4,24,22,0,88,2,20141101170000
100,"Petrochemical No. 7 elementaty school, Maoming",,21.648905,110.937861,151,56,34,6,3,7,24,22,0,88,2,20141101170000
101,"Jiankang road, Maoming",,21.662211,110.909482,97,49,24,7,4,9,24,22,0,88,2,20141101170000
102,"Gaoling, Maoming",,21.690558,110.871146,107,53,25,10,23,6,24,22,0,88,2,20141101170000
1094,Maoming,,21.660223,110.929968,97,49,24,7,4,9,24,22,0,88,2,20141101170000
103,"Jiaying University, Meizhou",,24.325415,116.12816,169,81,39,17,7,13,24,22,1015,89,0,20141101170000
