locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,46,-,68,6,2,7,22,18,1008,78,6,20140812170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,73,71,77,9,2,7,22,18,1008,78,6,20140812170000
3,West Park officials,,39.930333,116.345162,142,62,63,9,2,7,22,18,1008,78,6,20140812170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,61,68,94,17,2,9,28,16,1006,48,3,20140812170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,55,81,58,8,2,5,22,18,1008,78,6,20140812170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,53,105,89,9,2,8,22,18,1008,78,6,20140812170000
7,Haidian Wanliu,,39.988245,116.293062,65,118,48,10,2,6,22,18,1008,78,6,20140812170000
8,The Haidian northern New Area,,40.091313,116.180194,53,50,37,10,2,4,22,18,1008,78,6,20140812170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,64,45,118,3,2,8,22,18,1008,78,6,20140812170000
10,Fengtai garden,,39.86423,116.285037,72,72,13,14,2,8,22,18,1008,78,6,20140812170000
11,Fengtai Yungang,,39.82535,116.152237,61,27,62,5,2,6,22,18,1008,78,6,20140812170000
12,Shijingshan city,,39.915286,116.190144,71,56,103,9,2,6,22,18,1008,78,6,20140812170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,66,64,49,7,2,5,22,18,1008,78,6,20140812170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,66,24,60,11,2,6,22,18,1008,78,6,20140812170000
15,BDA,,39.796197,116.51197,76,64,88,12,2,10,22,18,1008,78,6,20140812170000
16,Tongzhou New Town,,39.887113,116.6689,79,89,45,23,2,6,22,18,1008,78,6,20140812170000
17,Shunyi New Town ,,40.128111,116.660908,80,93,59,11,3,8,28,16,1006,48,3,20140812170000
18,Changping Town,,40.218245,116.236084,62,19,58,11,2,5,22,18,1008,78,6,20140812170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,60,47,70,9,2,6,22,18,1008,78,6,20140812170000
20,Pinggu town,,40.144433,117.106563,85,53,48,9,2,7,22,18,1008,78,6,20140812170000
21,Huairou town,,40.329104,116.63387,53,28,49,5,2,5,22,18,1008,78,6,20140812170000
22,The town of Miyun,,40.371186,116.838053,19,28,50,5,2,4,22,18,1008,78,6,20140812170000
23,Yanqing town,,40.454217,115.978106,65,-,50,6,2,4,22,18,1008,78,6,20140812170000
24,Changping Dingling,,40.293269,116.226108,57,32,77,9,2,5,22,18,1008,78,6,20140812170000
25,Badaling Northwest,,40.36623,115.994146,58,33,47,17,2,5,22,18,1008,78,6,20140812170000
26,Miyun Reservoir,,40.500157,116.91701,51,-,46,1,2,4,22,18,1008,78,6,20140812170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,71,53,65,11,4,6,22,18,1008,78,6,20140812170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,134,77,34,21,4,11,22,18,1008,78,6,20140812170000
29,"Yufazhen, Daxing",,39.521203,116.306026,60,30,34,1,2,6,22,18,1008,78,6,20140812170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,65,43,38,9,8,3,22,18,1008,78,6,20140812170000
