locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,19,54,27,5,8,3,-2,-22,1034,21,7,20141231170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,35,51,29,7,5,2,-3,-22,1034,22,6,20141231170000
3,West Park officials,,39.930333,116.345162,35,9,22,8,4,2,-2,-18,1030,29,9,20141231170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,14,15,27,5,5,3,-2,-22,1034,21,7,20141231170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,-,-,-,-,-,-,-,-,0,-,-,20141231170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,13,35,29,7,8,3,-2,-22,1034,21,7,20141231170000
7,Haidian Wanliu,,39.988245,116.293062,18,30,16,9,5,2,-4,-21,1035,26,6,20141231170000
8,The Haidian northern New Area,,40.091313,116.180194,22,14,14,2,3,3,-4,-21,1035,26,6,20141231170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,40,56,27,1,5,3,-1,-17,1028,29,10,20141231170000
10,Fengtai garden,,39.86423,116.285037,16,30,20,6,4,3,-2,-18,1030,29,9,20141231170000
11,Fengtai Yungang,,39.82535,116.152237,21,24,28,10,2,2,-2,-23,1034,19,5,20141231170000
12,Shijingshan city,,39.915286,116.190144,35,9,25,2,4,3,-2,-18,1030,29,9,20141231170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,20,33,16,6,7,4,0,-23,1032,17,9,20141231170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,46,39,23,6,3,3,1,-26,1032,12,10,20141231170000
15,BDA,,39.796197,116.51197,45,75,25,6,6,3,-4,-21,1035,26,6,20141231170000
16,Tongzhou New Town,,39.887113,116.6689,78,38,18,18,6,4,-2,-23,1034,19,5,20141231170000
17,Shunyi New Town ,,40.128111,116.660908,24,41,24,5,3,3,-2,-22,1034,21,7,20141231170000
18,Changping Town,,40.218245,116.236084,49,31,18,13,4,4,-3,-22,1034,22,4,20141231170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,13,47,20,1,2,2,-2,-22,1034,21,7,20141231170000
20,Pinggu town,,40.144433,117.106563,17,68,24,1,3,3,1,-26,1032,12,9,20141231170000
21,Huairou town,,40.329104,116.63387,16,5,29,1,2,2,-3,-22,1034,22,6,20141231170000
22,The town of Miyun,,40.371186,116.838053,15,40,28,3,6,6,-2,-22,1034,21,7,20141231170000
23,Yanqing town,,40.454217,115.978106,13,33,30,1,2,1,-1,-17,1028,29,10,20141231170000
24,Changping Dingling,,40.293269,116.226108,20,36,30,1,2,2,-2,-18,1030,29,9,20141231170000
25,Badaling Northwest,,40.36623,115.994146,30,67,23,3,2,3,-2,-22,1033,21,5,20141231170000
26,Miyun Reservoir,,40.500157,116.91701,15,5,25,1,2,3,-2,-22,1034,21,7,20141231170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,18,17,23,1,2,3,-2,-22,1034,21,7,20141231170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,119,59,10,38,12,5,-3,-22,1034,22,4,20141231170000
29,"Yufazhen, Daxing",,39.521203,116.306026,28,27,18,6,5,7,-4,-22,1034,24,4,20141231170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,58,14,24,4,5,3,1,-26,1032,12,10,20141231170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,42,33,24,6,6,2,-2,-22,1034,21,7,20141231170000
32,Yongdingmen Inner St,,39.877401,116.400238,45,47,20,13,6,2,-5,-22,1034,26,10,20141231170000
33,Xizhimen N St,,39.955352,116.355187,36,107,15,6,2,10,0,-22,1026,18,7,20141231170000
34,South Ring Road,,39.857377,116.37421,51,55,12,16,9,5,0,-23,1033,17,7,20141231170000
35,East Fourth Ring Road,,39.940273,116.489075,43,34,19,12,3,2,-4,-22,1034,24,4,20141231170000
36,Beijing,,39.955906,116.474246,34,30,23,11,5,4,-3,-22,1034,22,4,20141231170000
37,Putuo,,31.232979,121.415378,95,64,13,20,11,6,3,-11,1033,36,6,20141231170000
38,Yangpu Sipiao,,31.263795,121.540311,172,80,25,51,15,17,7,3,1019,76,2,20141231170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,172,81,26,56,13,17,6,3,1019,81,2,20141231170000
40,Dianshan Lake,,31.091338,120.982293,161,73,31,18,16,9,6,-5,1031,46,7,20141231170000
41,Hongkou Liangcheng,,31.298906,121.47155,187,92,29,58,12,25,7,1,1019,66,2,20141231170000
42,Jingan,,31.224251,121.429637,173,85,46,47,18,20,6,3,1019,81,2,20141231170000
43,Shanghai Normal University,,31.163531,121.416643,251,182,32,27,30,13,10,-1,1027,47,11,20141231170000
44,Chuansha,,31.188626,121.707342,218,123,23,41,28,9,6,3,1019,81,2,20141231170000
45,Zhangjiang,,31.204896,121.581215,152,81,30,18,13,9,6,-5,1031,46,7,20141231170000
46,Lingshan Road,,31.226286,121.537317,267,195,31,26,30,13,10,-1,1027,47,11,20141231170000
1080,City average,,31.228451,121.478227,157,73,23,23,13,9,4,-6,1031,49,5,20141231170000
47,Shanghai,,31.202842,121.453493,165,69,23,28,14,9,5,-5,1031,49,7,20141231170000
48,Guangzhou,,23.138517,113.263701,132,75,35,44,14,9,19,2,1021,32,4,20141231170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,171,157,23,25,18,21,10,7,1020,82,2,20141231170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,149,109,27,33,6,11,16,0,1023,34,2,20141231170000
51,"LuHu, Guangzhou",,23.151743,113.281842,87,54,35,17,5,14,23,-1,1020,20,6,20141231170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,78,36,47,4,5,6,23,-1,1020,20,6,20141231170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,171,107,23,31,35,14,16,6,1024,52,0,20141231170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,184,98,5,88,26,19,16,6,1024,52,0,20141231170000
55,Zhuhai,,22.2677,113.581765,122,59,45,29,3,9,15,10,1020,72,3,20141231170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,185,109,34,61,48,22,16,6,1024,52,0,20141231170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,185,146,30,33,57,15,12,7,1025,72,1,20141231170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,162,90,36,86,19,12,14,6,1018,59,0,20141231170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,176,100,30,41,62,12,12,7,1025,72,1,20141231170000
1087,Foshan,,23.018995,113.126899,200,150,32,89,21,21,10,6,1020,76,1,20141231170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,190,143,45,105,21,22,22,5,1021,33,2,20141231170000
60,Shunde,,22.80246,113.298701,173,93,50,62,13,14,-,-,0,-,-,20141231170000
61,"Donghu, Jiangmen",,22.590411,113.087351,175,102,44,48,22,16,16,10,1024,68,4,20141231170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,174,96,4,31,38,14,16,10,1024,68,4,20141231170000
63,Jiangmen,,22.576047,113.087351,197,98,44,49,9,24,15,10,1020,72,3,20141231170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,117,68,36,32,16,8,11,7,1024,76,1,20141231170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,137,66,34,22,16,9,14,7,1025,63,0,20141231170000
67,Zhaoqing,,23.044571,112.470346,144,52,31,11,9,7,9,6,1021,82,0,20141231170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,139,50,17,13,8,6,16,8,1024,59,3,20141231170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,124,70,39,12,10,13,16,8,1024,59,3,20141231170000
69,"Xijiao, Huizhou",,23.338178,114.112867,127,45,3,6,6,5,16,8,1024,59,3,20141231170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,124,82,43,20,15,11,16,8,1024,59,3,20141231170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,152,63,42,24,4,15,11,7,1021,76,2,20141231170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,78,39,49,12,8,9,20,9,1020,49,5,20141231170000
73,Huizhou,,23.109349,114.421164,166,107,43,38,9,12,13,7,1020,67,2,20141231170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,187,109,54,40,29,13,16,8,1024,59,3,20141231170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,196,112,86,59,29,19,16,8,1024,59,3,20141231170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,179,147,89,68,13,11,14,7,1020,63,2,20141231170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,185,105,78,47,45,17,16,8,1024,59,3,20141231170000
78,Dongguan,,23.017813,113.756958,179,102,78,68,16,14,14,7,1020,63,2,20141231170000
