locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,190,121,15,38,16,8,8,5,1015,81,1,20141014170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,178,102,14,41,6,11,8,5,1015,81,1,20141014170000
3,West Park officials,,39.930333,116.345162,195,119,16,44,11,8,8,5,1015,81,1,20141014170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,185,123,13,44,5,8,8,5,1015,81,1,20141014170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,193,133,10,48,9,7,8,5,1015,81,1,20141014170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,197,128,15,49,18,7,8,5,1015,81,1,20141014170000
7,Haidian Wanliu,,39.988245,116.293062,180,125,6,47,7,8,8,5,1015,81,1,20141014170000
8,The Haidian northern New Area,,40.091313,116.180194,156,95,6,26,5,7,8,5,1015,81,1,20141014170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,-,125,-,-,-,-,-,-,0,-,-,20141014170000
10,Fengtai garden,,39.86423,116.285037,197,145,8,41,6,8,8,5,1015,81,1,20141014170000
11,Fengtai Yungang,,39.82535,116.152237,172,103,11,39,5,7,8,5,1015,81,1,20141014170000
12,Shijingshan city,,39.915286,116.190144,165,120,15,46,4,8,8,5,1015,81,1,20141014170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,192,140,8,40,6,9,8,5,1015,81,1,20141014170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,216,116,19,31,21,7,8,5,1015,81,1,20141014170000
15,BDA,,39.796197,116.51197,194,116,31,43,16,7,8,5,1015,81,1,20141014170000
16,Tongzhou New Town,,39.887113,116.6689,182,111,16,38,15,5,8,5,1015,81,1,20141014170000
17,Shunyi New Town ,,40.128111,116.660908,171,117,6,35,2,9,8,5,1015,81,1,20141014170000
18,Changping Town,,40.218245,116.236084,114,53,20,13,2,6,8,5,1015,81,1,20141014170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,130,67,11,27,4,7,8,5,1015,81,1,20141014170000
20,Pinggu town,,40.144433,117.106563,153,81,20,13,2,7,8,5,1015,81,1,20141014170000
21,Huairou town,,40.329104,116.63387,97,51,17,11,2,7,8,5,1015,81,1,20141014170000
22,The town of Miyun,,40.371186,116.838053,159,87,4,28,2,9,8,5,1015,81,1,20141014170000
23,Yanqing town,,40.454217,115.978106,133,54,15,24,2,5,8,5,1015,81,1,20141014170000
24,Changping Dingling,,40.293269,116.226108,103,53,25,7,2,4,8,5,1015,81,1,20141014170000
25,Badaling Northwest,,40.36623,115.994146,102,51,17,9,5,4,8,5,1015,81,1,20141014170000
26,Miyun Reservoir,,40.500157,116.91701,139,57,21,10,3,6,8,5,1015,81,1,20141014170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,167,81,36,25,17,4,8,5,1015,81,1,20141014170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,173,82,15,31,11,5,8,5,1015,81,1,20141014170000
29,"Yufazhen, Daxing",,39.521203,116.306026,192,116,21,21,14,6,8,5,1015,81,1,20141014170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,230,-,22,29,6,6,8,5,1015,81,1,20141014170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,219,126,8,40,11,9,8,5,1015,81,1,20141014170000
32,Yongdingmen Inner St,,39.877401,116.400238,210,102,12,44,19,8,8,5,1015,81,1,20141014170000
33,Xizhimen N St,,39.955352,116.355187,261,51,7,41,11,9,8,5,1015,81,1,20141014170000
34,South Ring Road,,39.857377,116.37421,197,128,3,43,8,10,8,5,1015,81,1,20141014170000
35,East Fourth Ring Road,,39.940273,116.489075,240,-,19,46,9,6,8,5,1015,81,1,20141014170000
36,Beijing,,39.955906,116.474246,197,128,15,49,18,8,9,6,1015,82,1,20141014170000
37,Putuo,,31.232979,121.415378,157,87,18,61,13,8,15,5,1021,51,2,20141014170000
38,Yangpu Sipiao,,31.263795,121.540311,156,65,31,32,10,7,15,5,1021,51,2,20141014170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,153,73,28,47,12,10,15,5,1021,51,2,20141014170000
40,Dianshan Lake,,31.091338,120.982293,163,80,36,36,21,8,15,5,1021,51,2,20141014170000
41,Hongkou Liangcheng,,31.298906,121.47155,158,78,17,55,11,12,15,5,1021,51,2,20141014170000
42,Jingan,,31.224251,121.429637,153,77,25,39,14,8,15,5,1021,51,2,20141014170000
43,Shanghai Normal University,,31.163531,121.416643,150,77,34,39,16,11,15,5,1021,51,2,20141014170000
44,Chuansha,,31.188626,121.707342,107,61,26,25,9,6,15,5,1021,51,2,20141014170000
45,Zhangjiang,,31.204896,121.581215,105,57,33,25,8,6,15,5,1021,51,2,20141014170000
46,Lingshan Road,,31.226286,121.537317,127,67,31,34,9,7,15,5,1021,51,2,20141014170000
1080,City average,,31.228451,121.478227,151,71,27,40,11,8,15,5,1021,51,2,20141014170000
47,Shanghai,,31.202842,121.453493,153,77,28,47,14,10,15,5,1021,51,2,20141014170000
48,Guangzhou,,23.138517,113.263701,185,107,37,56,16,12,23,12,1019,50,4,20141014170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,179,93,89,13,10,7,23,12,1019,50,4,20141014170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,180,91,44,22,21,11,23,12,1019,50,4,20141014170000
51,"LuHu, Guangzhou",,23.151743,113.281842,178,107,35,34,11,10,23,12,1019,50,4,20141014170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,170,93,120,7,11,12,23,12,1019,50,4,20141014170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,182,96,93,21,23,9,23,12,1019,50,4,20141014170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,163,108,49,33,14,6,23,12,1019,50,4,20141014170000
55,Zhuhai,,22.2677,113.581765,178,97,53,21,16,15,25,15,1018,54,6,20141014170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,199,106,45,47,25,9,23,12,1019,50,4,20141014170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,188,99,45,21,14,6,23,12,1019,50,4,20141014170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,185,117,49,30,16,11,23,12,1019,50,4,20141014170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,188,95,38,28,4,9,23,12,1019,50,4,20141014170000
1087,Foshan,,23.018995,113.126899,199,117,56,47,25,11,23,12,1019,50,4,20141014170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,189,111,45,33,15,9,23,12,1019,50,4,20141014170000
60,Shunde,,22.80246,113.298701,189,111,45,33,15,9,-,-,0,-,-,20141014170000
61,"Donghu, Jiangmen",,22.590411,113.087351,180,89,23,12,19,6,25,15,1018,54,6,20141014170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,192,117,79,19,27,10,25,15,1018,54,6,20141014170000
63,Jiangmen,,22.576047,113.087351,181,120,99,22,25,12,25,15,1018,54,6,20141014170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,181,91,82,12,9,10,23,12,1019,50,5,20141014170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,180,107,48,38,8,11,23,12,1019,50,5,20141014170000
67,Zhaoqing,,23.044571,112.470346,180,105,48,33,8,12,23,12,1019,50,5,20141014170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,155,83,48,14,9,8,25,15,1018,54,3,20141014170000
