locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,169,99,18,36,28,19,-5,-14,1028,50,1,20141213170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,176,105,18,38,17,16,-5,-14,1028,50,1,20141213170000
3,West Park officials,,39.930333,116.345162,175,92,16,44,31,16,-5,-14,1028,50,1,20141213170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,184,109,21,47,28,14,-5,-15,1027,46,1,20141213170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,187,126,15,48,31,16,-5,-14,1028,50,1,20141213170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,185,108,21,44,30,12,-5,-14,1028,50,1,20141213170000
7,Haidian Wanliu,,39.988245,116.293062,189,162,13,50,27,19,-5,-14,1028,50,1,20141213170000
8,The Haidian northern New Area,,40.091313,116.180194,173,101,4,30,10,17,-5,-14,1028,50,1,20141213170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,155,62,13,128,12,13,-5,-14,1028,50,1,20141213170000
10,Fengtai garden,,39.86423,116.285037,207,126,3,46,32,24,-5,-14,1028,50,1,20141213170000
11,Fengtai Yungang,,39.82535,116.152237,165,91,4,23,15,16,-5,-14,1028,50,1,20141213170000
12,Shijingshan city,,39.915286,116.190144,163,90,19,23,17,20,-5,-14,1028,50,1,20141213170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,251,131,9,36,28,33,-5,-14,1028,50,1,20141213170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,203,107,8,37,32,15,-5,-14,1028,50,1,20141213170000
15,BDA,,39.796197,116.51197,195,100,10,39,30,16,-5,-14,1028,50,1,20141213170000
16,Tongzhou New Town,,39.887113,116.6689,320,192,5,42,57,23,-5,-14,1028,50,1,20141213170000
17,Shunyi New Town ,,40.128111,116.660908,194,126,14,45,31,15,-5,-15,1027,46,1,20141213170000
18,Changping Town,,40.218245,116.236084,151,61,21,23,15,13,-5,-14,1028,50,1,20141213170000
