locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,180,115,21,35,32,16,-6,-15,1026,50,1,20141205170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,179,108,23,38,12,13,-6,-15,1026,50,1,20141205170000
3,West Park officials,,39.930333,116.345162,182,98,20,44,34,18,-6,-15,1026,50,1,20141205170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,194,114,26,46,35,20,-6,-15,1026,50,1,20141205170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,183,103,22,44,23,16,-6,-15,1026,50,1,20141205170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,200,111,27,49,34,14,-6,-15,1026,50,1,20141205170000
7,Haidian Wanliu,,39.988245,116.293062,184,120,19,45,27,15,-6,-15,1026,50,1,20141205170000
8,The Haidian northern New Area,,40.091313,116.180194,182,90,7,31,15,19,-6,-15,1026,50,1,20141205170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,155,69,12,29,14,10,-6,-15,1026,50,1,20141205170000
10,Fengtai garden,,39.86423,116.285037,252,170,2,51,48,25,-6,-15,1026,50,1,20141205170000
11,Fengtai Yungang,,39.82535,116.152237,176,107,7,44,31,18,-6,-15,1026,50,1,20141205170000
12,Shijingshan city,,39.915286,116.190144,171,117,25,40,19,21,-6,-15,1026,50,1,20141205170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,249,149,2,37,25,27,-6,-15,1026,50,1,20141205170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,250,90,4,39,33,20,-6,-15,1026,50,1,20141205170000
15,BDA,,39.796197,116.51197,223,122,7,46,45,22,-6,-15,1026,50,1,20141205170000
16,Tongzhou New Town,,39.887113,116.6689,214,140,4,44,38,22,-6,-15,1026,50,1,20141205170000
