locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,166,78,19,49,6,6,11,7,1021,76,2,20141006170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,171,74,18,49,2,6,11,7,1021,76,2,20141006170000
3,West Park officials,,39.930333,116.345162,178,82,22,39,5,6,11,7,1021,76,2,20141006170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,164,93,18,38,3,7,11,7,1021,76,2,20141006170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,171,94,14,50,5,5,11,7,1021,76,2,20141006170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,168,87,23,51,5,6,11,7,1021,76,2,20141006170000
7,Haidian Wanliu,,39.988245,116.293062,179,102,12,68,6,5,11,7,1021,76,2,20141006170000
8,The Haidian northern New Area,,40.091313,116.180194,123,-,17,24,3,4,11,7,1021,76,2,20141006170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,168,77,22,25,2,6,11,7,1021,76,2,20141006170000
10,Fengtai garden,,39.86423,116.285037,175,96,18,44,5,6,11,7,1021,76,2,20141006170000
11,Fengtai Yungang,,39.82535,116.152237,179,102,21,47,5,6,11,7,1021,76,2,20141006170000
12,Shijingshan city,,39.915286,116.190144,179,157,16,49,3,7,11,7,1021,76,2,20141006170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,190,115,18,35,5,6,11,7,1021,76,2,20141006170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,174,78,16,33,4,6,11,7,1021,76,2,20141006170000
15,BDA,,39.796197,116.51197,171,72,24,30,9,5,11,7,1021,76,2,20141006170000
16,Tongzhou New Town,,39.887113,116.6689,-,-,-,-,-,-,-,-,0,-,-,20141006170000
17,Shunyi New Town ,,40.128111,116.660908,156,72,10,33,3,5,11,7,1021,76,2,20141006170000
18,Changping Town,,40.218245,116.236084,104,46,19,12,2,5,11,7,1021,76,2,20141006170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,156,-,17,26,2,5,11,7,1021,76,2,20141006170000
20,Pinggu town,,40.144433,117.106563,75,-,24,6,2,4,11,7,1021,76,2,20141006170000
21,Huairou town,,40.329104,116.63387,86,59,17,11,2,5,11,7,1021,76,2,20141006170000
22,The town of Miyun,,40.371186,116.838053,93,55,11,22,2,5,11,7,1021,76,2,20141006170000
23,Yanqing town,,40.454217,115.978106,122,42,18,18,2,6,11,7,1021,76,2,20141006170000
24,Changping Dingling,,40.293269,116.226108,99,40,25,7,2,3,11,7,1021,76,2,20141006170000
25,Badaling Northwest,,40.36623,115.994146,137,54,14,35,3,4,11,7,1021,76,2,20141006170000
26,Miyun Reservoir,,40.500157,116.91701,59,-,29,3,2,3,11,7,1021,76,2,20141006170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,103,-,28,14,6,4,11,7,1021,76,2,20141006170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,159,-,8,38,9,5,11,7,1021,76,2,20141006170000
29,"Yufazhen, Daxing",,39.521203,116.306026,170,78,18,27,2,6,11,7,1021,76,2,20141006170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,200,127,21,22,2,4,11,7,1021,76,2,20141006170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,186,89,9,50,3,9,11,7,1021,76,2,20141006170000
32,Yongdingmen Inner St,,39.877401,116.400238,185,-,10,51,6,8,11,7,1021,76,2,20141006170000
33,Xizhimen N St,,39.955352,116.355187,172,-,14,33,7,6,11,7,1021,76,2,20141006170000
34,South Ring Road,,39.857377,116.37421,172,99,5,69,5,8,11,7,1021,76,2,20141006170000
35,East Fourth Ring Road,,39.940273,116.489075,172,112,9,40,2,8,11,7,1021,76,2,20141006170000
36,Beijing,,39.955906,116.474246,169,91,27,56,7,6,11,7,1021,76,1,20141006170000
37,Putuo,,31.232979,121.415378,104,54,42,20,5,4,16,13,1022,82,2,20141006170000
38,Yangpu Sipiao,,31.263795,121.540311,138,52,44,20,16,8,16,13,1022,82,2,20141006170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,102,51,41,20,4,8,16,13,1022,82,2,20141006170000
40,Dianshan Lake,,31.091338,120.982293,117,54,46,11,9,6,16,13,1022,82,2,20141006170000
41,Hongkou Liangcheng,,31.298906,121.47155,99,35,40,13,6,13,16,13,1022,82,2,20141006170000
42,Jingan,,31.224251,121.429637,95,50,42,13,6,9,16,13,1022,82,2,20141006170000
43,Shanghai Normal University,,31.163531,121.416643,93,51,46,13,7,8,16,13,1022,82,2,20141006170000
44,Chuansha,,31.188626,121.707342,86,46,41,13,6,5,16,13,1022,82,2,20141006170000
45,Zhangjiang,,31.204896,121.581215,85,51,46,12,4,5,16,13,1022,82,2,20141006170000
46,Lingshan Road,,31.226286,121.537317,100,54,43,23,17,5,16,13,1022,82,2,20141006170000
1080,City average,,31.228451,121.478227,99,50,43,16,8,7,16,13,1022,82,2,20141006170000
47,Shanghai,,31.202842,121.453493,102,51,42,20,6,9,16,13,1022,82,3,20141006170000
48,Guangzhou,,23.138517,113.263701,155,74,36,35,9,11,26,13,1016,44,3,20141006170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,152,77,90,13,11,4,25,14,1016,50,2,20141006170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,168,92,37,38,11,8,25,14,1016,50,2,20141006170000
51,"LuHu, Guangzhou",,23.151743,113.281842,134,61,42,23,9,11,25,14,1016,50,2,20141006170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,159,71,112,5,10,7,26,13,1016,44,3,20141006170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,152,77,88,12,11,8,25,14,1016,50,2,20141006170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,109,79,48,25,14,9,25,14,1016,50,2,20141006170000
55,Zhuhai,,22.2677,113.581765,180,128,54,54,18,13,27,21,1015,70,5,20141006170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,124,63,53,11,12,8,25,14,1016,50,2,20141006170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,139,68,48,19,20,9,25,14,1016,50,2,20141006170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,119,61,67,13,7,6,25,14,1016,50,2,20141006170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,151,64,40,23,23,7,25,14,1016,50,2,20141006170000
1087,Foshan,,23.018995,113.126899,124,63,68,13,12,8,26,13,1016,44,3,20141006170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,158,77,41,29,13,8,25,14,1016,50,2,20141006170000
60,Shunde,,22.80246,113.298701,158,77,37,28,17,8,-,-,0,-,-,20141006170000
61,"Donghu, Jiangmen",,22.590411,113.087351,162,87,44,31,8,4,27,21,1015,70,5,20141006170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,164,102,50,25,17,6,27,21,1015,70,5,20141006170000
63,Jiangmen,,22.576047,113.087351,162,87,46,31,20,14,27,21,1015,70,5,20141006170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,129,61,50,11,7,7,25,14,1016,50,2,20141006170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,142,64,43,22,6,9,25,14,1016,50,2,20141006170000
67,Zhaoqing,,23.044571,112.470346,142,64,50,25,7,9,26,13,1016,44,3,20141006170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,139,65,43,9,5,5,26,17,1015,57,2,20141006170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,144,81,43,18,10,5,26,17,1015,57,2,20141006170000
69,"Xijiao, Huizhou",,23.338178,114.112867,114,51,27,11,4,8,26,17,1015,57,2,20141006170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,114,63,46,14,10,9,26,17,1015,57,2,20141006170000
