locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,22,42,25,9,8,5,-7,-16,1029,49,1,20141212170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,27,42,23,10,10,4,-5,-15,1028,46,1,20141212170000
3,West Park officials,,39.930333,116.345162,30,25,19,10,9,5,-7,-16,1029,49,1,20141212170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,50,32,25,12,11,10,-7,-16,1029,49,1,20141212170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,-,-,-,-,-,-,-,-,0,-,-,20141212170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,25,31,27,9,6,4,-7,-16,1029,49,1,20141212170000
7,Haidian Wanliu,,39.988245,116.293062,34,25,17,10,9,5,-5,-15,1028,46,1,20141212170000
8,The Haidian northern New Area,,40.091313,116.180194,28,26,18,5,8,3,-5,-15,1028,46,1,20141212170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,40,27,26,1,8,3,-5,-15,1028,46,1,20141212170000
10,Fengtai garden,,39.86423,116.285037,161,85,5,38,22,16,-5,-15,1028,46,1,20141212170000
11,Fengtai Yungang,,39.82535,116.152237,88,53,6,15,7,7,-5,-15,1028,46,1,20141212170000
12,Shijingshan city,,39.915286,116.190144,104,80,21,31,10,10,-5,-15,1028,46,1,20141212170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,183,108,6,30,22,22,-5,-15,1028,46,1,20141212170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,198,119,8,40,34,14,-5,-15,1028,46,1,20141212170000
15,BDA,,39.796197,116.51197,163,70,10,33,24,13,-5,-15,1028,46,1,20141212170000
16,Tongzhou New Town,,39.887113,116.6689,180,89,8,29,20,14,-5,-15,1028,46,1,20141212170000
17,Shunyi New Town ,,40.128111,116.660908,107,60,20,26,6,6,-5,-15,1028,46,1,20141212170000
18,Changping Town,,40.218245,116.236084,129,67,25,22,13,9,-5,-15,1028,46,1,20141212170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,99,54,10,24,15,14,-5,-15,1028,46,1,20141212170000
20,Pinggu town,,40.144433,117.106563,81,53,15,13,6,10,-5,-15,1028,46,1,20141212170000
21,Huairou town,,40.329104,116.63387,93,39,26,8,6,6,-7,-16,1029,49,1,20141212170000
22,The town of Miyun,,40.371186,116.838053,100,61,16,23,7,6,-5,-15,1028,46,1,20141212170000
23,Yanqing town,,40.454217,115.978106,29,20,32,1,2,3,-5,-15,1028,46,1,20141212170000
24,Changping Dingling,,40.293269,116.226108,171,88,25,16,10,6,-5,-15,1028,46,1,20141212170000
25,Badaling Northwest,,40.36623,115.994146,40,24,22,7,4,2,-5,-15,1028,46,1,20141212170000
26,Miyun Reservoir,,40.500157,116.91701,45,19,24,3,2,2,-5,-15,1028,46,1,20141212170000
