locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,226,162,2,55,31,33,3,-4,1027,60,2,20141115170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,254,181,3,68,19,28,3,-4,1027,60,2,20141115170000
3,West Park officials,,39.930333,116.345162,218,139,2,67,30,29,3,-4,1027,60,2,20141115170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,253,183,3,68,23,31,3,-4,1027,60,2,20141115170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,217,127,1,64,26,30,3,-4,1027,60,2,20141115170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,304,203,2,69,34,29,3,-4,1027,60,2,20141115170000
7,Haidian Wanliu,,39.988245,116.293062,207,146,1,56,19,30,3,-4,1027,60,2,20141115170000
8,The Haidian northern New Area,,40.091313,116.180194,226,135,1,35,9,25,3,-4,1027,60,2,20141115170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,-,-,-,-,-,-,-,-,0,-,-,20141115170000
10,Fengtai garden,,39.86423,116.285037,260,190,1,67,31,32,3,-4,1027,60,2,20141115170000
11,Fengtai Yungang,,39.82535,116.152237,236,159,1,61,22,27,3,-4,1027,60,2,20141115170000
12,Shijingshan city,,39.915286,116.190144,190,133,4,53,16,27,3,-4,1027,60,2,20141115170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,382,248,1,70,31,37,3,-4,1027,60,2,20141115170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,264,137,2,38,19,35,3,-4,1027,60,2,20141115170000
15,BDA,,39.796197,116.51197,244,255,5,37,15,26,3,-4,1027,60,2,20141115170000
16,Tongzhou New Town,,39.887113,116.6689,274,148,1,60,34,37,3,-4,1027,60,2,20141115170000
17,Shunyi New Town ,,40.128111,116.660908,236,141,5,43,30,38,3,-4,1027,60,2,20141115170000
18,Changping Town,,40.218245,116.236084,179,83,3,37,17,19,3,-4,1027,60,2,20141115170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,184,99,3,47,18,24,3,-4,1027,60,2,20141115170000
20,Pinggu town,,40.144433,117.106563,165,71,7,25,13,14,3,-4,1027,60,2,20141115170000
21,Huairou town,,40.329104,116.63387,180,78,1,40,15,17,3,-4,1027,60,2,20141115170000
22,The town of Miyun,,40.371186,116.838053,262,144,1,44,28,23,3,-4,1027,60,2,20141115170000
23,Yanqing town,,40.454217,115.978106,221,123,1,42,15,21,3,-4,1027,60,2,20141115170000
24,Changping Dingling,,40.293269,116.226108,181,75,1,32,12,14,3,-4,1027,60,2,20141115170000
25,Badaling Northwest,,40.36623,115.994146,155,64,2,29,14,11,3,-4,1027,60,2,20141115170000
26,Miyun Reservoir,,40.500157,116.91701,209,107,2,27,16,17,3,-4,1027,60,2,20141115170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,192,124,11,43,27,9,3,-4,1027,60,2,20141115170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,211,152,2,41,14,24,3,-4,1027,60,2,20141115170000
29,"Yufazhen, Daxing",,39.521203,116.306026,184,112,2,20,11,16,3,-4,1027,60,2,20141115170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,455,481,5,61,15,40,3,-4,1027,60,2,20141115170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,295,171,1,55,36,30,3,-4,1027,60,2,20141115170000
32,Yongdingmen Inner St,,39.877401,116.400238,294,199,2,63,40,33,3,-4,1027,60,2,20141115170000
33,Xizhimen N St,,39.955352,116.355187,247,158,3,61,31,34,3,-4,1027,60,2,20141115170000
34,South Ring Road,,39.857377,116.37421,295,208,1,60,34,35,3,-4,1027,60,2,20141115170000
35,East Fourth Ring Road,,39.940273,116.489075,362,194,1,58,12,39,3,-4,1027,60,2,20141115170000
36,Beijing,,39.955906,116.474246,323,162,2,55,31,33,3,-4,1027,60,2,20141115170000
37,Putuo,,31.232979,121.415378,96,46,26,19,5,3,13,11,1027,88,2,20141115170000
38,Yangpu Sipiao,,31.263795,121.540311,103,37,31,13,4,7,13,11,1027,88,2,20141115170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,98,43,25,23,6,7,13,11,1027,88,2,20141115170000
40,Dianshan Lake,,31.091338,120.982293,149,55,16,21,20,7,13,11,1026,88,2,20141115170000
