locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,117,81,5,32,10,16,6,3,1024,81,1,20141021170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,152,69,5,32,7,15,6,3,1024,81,1,20141021170000
3,West Park officials,,39.930333,116.345162,156,83,5,37,11,15,6,3,1024,81,1,20141021170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,151,82,4,39,9,17,6,3,1024,81,1,20141021170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,157,95,3,42,11,16,6,3,1024,81,1,20141021170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,153,84,4,36,11,14,6,3,1024,81,1,20141021170000
7,Haidian Wanliu,,39.988245,116.293062,158,114,2,47,7,15,6,3,1024,81,1,20141021170000
8,The Haidian northern New Area,,40.091313,116.180194,144,68,4,31,4,10,6,3,1024,81,1,20141021170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,164,90,10,41,4,13,6,3,1024,81,1,20141021170000
10,Fengtai garden,,39.86423,116.285037,161,-,4,33,10,17,6,3,1024,81,1,20141021170000
11,Fengtai Yungang,,39.82535,116.152237,175,-,6,39,9,15,6,3,1024,81,1,20141021170000
12,Shijingshan city,,39.915286,116.190144,159,116,6,37,6,18,6,3,1024,81,1,20141021170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,159,-,4,33,5,16,6,3,1024,81,1,20141021170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,161,-,5,31,8,15,6,3,1024,81,1,20141021170000
15,BDA,,39.796197,116.51197,151,66,15,28,10,15,6,3,1024,81,1,20141021170000
16,Tongzhou New Town,,39.887113,116.6689,198,135,3,51,10,18,6,3,1024,81,1,20141021170000
17,Shunyi New Town ,,40.128111,116.660908,160,76,3,28,2,11,6,3,1024,81,1,20141021170000
18,Changping Town,,40.218245,116.236084,119,60,5,27,4,11,6,3,1024,81,1,20141021170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,131,65,5,30,4,12,6,3,1024,81,1,20141021170000
20,Pinggu town,,40.144433,117.106563,114,59,4,17,2,11,6,3,1024,81,1,20141021170000
21,Huairou town,,40.329104,116.63387,104,61,3,26,2,10,6,3,1024,81,1,20141021170000
22,The town of Miyun,,40.371186,116.838053,139,69,3,25,3,11,6,3,1024,81,1,20141021170000
23,Yanqing town,,40.454217,115.978106,133,-,7,27,2,11,6,3,1024,81,1,20141021170000
24,Changping Dingling,,40.293269,116.226108,116,56,7,19,2,9,6,3,1024,81,1,20141021170000
25,Badaling Northwest,,40.36623,115.994146,126,-,2,34,7,9,6,3,1024,81,1,20141021170000
26,Miyun Reservoir,,40.500157,116.91701,124,51,6,13,4,10,6,3,1024,81,1,20141021170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,135,68,11,21,7,9,6,3,1024,81,1,20141021170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,163,66,3,37,7,14,6,3,1024,81,1,20141021170000
29,"Yufazhen, Daxing",,39.521203,116.306026,159,70,4,20,3,11,6,3,1024,81,1,20141021170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,172,112,8,30,4,5,6,3,1024,81,1,20141021170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,161,72,2,33,5,20,6,3,1024,81,1,20141021170000
32,Yongdingmen Inner St,,39.877401,116.400238,13,74,3,40,11,21,6,3,1024,81,1,20141021170000
33,Xizhimen N St,,39.955352,116.355187,167,93,4,41,11,16,6,3,1024,81,1,20141021170000
34,South Ring Road,,39.857377,116.37421,168,98,1,37,6,19,6,3,1025,81,1,20141021170000
35,East Fourth Ring Road,,39.940273,116.489075,173,99,2,53,3,22,6,3,1024,81,1,20141021170000
36,Beijing,,39.955906,116.474246,153,84,5,36,11,16,6,3,1025,81,1,20141021170000
37,Putuo,,31.232979,121.415378,78,33,26,8,6,4,19,15,1019,78,7,20141021170000
38,Yangpu Sipiao,,31.263795,121.540311,76,39,29,8,4,6,19,15,1019,78,7,20141021170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,95,33,25,11,4,9,19,15,1019,78,7,20141021170000
40,Dianshan Lake,,31.091338,120.982293,116,42,31,7,8,7,19,15,1019,78,7,20141021170000
41,Hongkou Liangcheng,,31.298906,121.47155,77,25,22,11,6,9,19,15,1019,78,7,20141021170000
42,Jingan,,31.224251,121.429637,76,24,27,10,6,6,19,15,1019,78,7,20141021170000
43,Shanghai Normal University,,31.163531,121.416643,73,23,30,10,3,7,19,15,1019,78,7,20141021170000
44,Chuansha,,31.188626,121.707342,26,28,28,6,4,7,19,15,1019,78,7,20141021170000
45,Zhangjiang,,31.204896,121.581215,62,20,31,5,2,7,19,15,1019,78,7,20141021170000
46,Lingshan Road,,31.226286,121.537317,67,41,31,9,4,8,19,15,1019,78,7,20141021170000
1080,City average,,31.228451,121.478227,71,29,28,9,4,7,19,15,1019,78,7,20141021170000
47,Shanghai,,31.202842,121.453493,95,33,27,11,6,9,19,15,1019,78,7,20141021170000
48,Guangzhou,,23.138517,113.263701,139,65,29,22,9,10,25,19,1016,69,7,20141021170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,97,51,35,6,5,2,25,19,1016,69,7,20141021170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,122,61,36,15,9,6,25,19,1016,69,7,20141021170000
51,"LuHu, Guangzhou",,23.151743,113.281842,139,65,29,18,9,9,25,19,1016,69,7,20141021170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,74,33,85,8,12,10,25,19,1016,69,7,20141021170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,65,40,41,11,9,5,25,19,1016,69,7,20141021170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,85,57,29,22,8,4,25,19,1016,69,7,20141021170000
55,Zhuhai,,22.2677,113.581765,151,90,28,47,8,16,27,22,1014,74,2,20141021170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,124,63,22,27,23,6,25,19,1016,69,6,20141021170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,114,57,32,13,9,7,25,19,1016,69,6,20141021170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,124,62,26,17,19,10,25,19,1016,69,6,20141021170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,102,53,36,10,6,4,25,19,1016,69,6,20141021170000
1087,Foshan,,23.018995,113.126899,137,63,26,27,23,10,25,19,1016,69,6,20141021170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,157,81,28,26,14,12,25,19,1016,69,6,20141021170000
60,Shunde,,22.80246,113.298701,157,81,28,26,14,12,-,-,0,-,-,20141021170000
61,"Donghu, Jiangmen",,22.590411,113.087351,99,41,18,17,5,6,27,22,1014,74,2,20141021170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,82,53,29,14,14,7,27,22,1014,74,2,20141021170000
63,Jiangmen,,22.576047,113.087351,124,56,29,17,17,15,27,22,1014,74,2,20141021170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,68,30,44,4,5,8,25,19,1016,69,6,20141021170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,68,25,36,7,8,7,25,19,1016,69,6,20141021170000
67,Zhaoqing,,23.044571,112.470346,68,25,40,7,8,7,25,19,1016,69,6,20141021170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,153,64,106,13,5,5,28,23,1015,74,2,20141021170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,161,97,45,40,6,8,28,23,1015,74,2,20141021170000
69,"Xijiao, Huizhou",,23.338178,114.112867,122,48,17,12,3,9,28,23,1015,74,2,20141021170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,163,73,49,53,6,11,28,23,1015,74,2,20141021170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,151,76,29,36,6,10,28,23,1015,74,2,20141021170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,109,54,21,33,4,5,28,23,1015,74,2,20141021170000
73,Huizhou,,23.109349,114.421164,163,97,49,53,8,12,28,23,1015,74,2,20141021170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,154,79,46,23,23,9,28,23,1015,74,2,20141021170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,154,68,65,29,17,7,28,23,1015,74,2,20141021170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,157,73,46,38,21,6,28,23,1015,74,2,20141021170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,155,74,45,22,35,9,28,23,1015,74,2,20141021170000
78,Dongguan,,23.017813,113.756958,157,79,65,38,35,11,28,23,1015,74,2,20141021170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,142,58,36,25,14,12,27,22,1014,74,2,20141021170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,85,37,42,7,4,14,27,22,1014,74,2,20141021170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,144,64,19,20,8,16,27,22,1014,74,2,20141021170000
82,Zhongshan,,22.513997,113.398277,144,66,42,25,15,16,27,22,1014,74,2,20141021170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,65,20,26,7,8,8,23,16,1019,54,4,20141021170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,65,20,26,7,8,8,23,16,1019,54,4,20141021170000
84,"Forest area, Shaoguan",,24.796107,113.612131,93,49,29,5,8,14,23,16,1019,54,4,20141021170000
84,"Forest area, Shaoguan",,24.796106,113.612131,93,49,29,5,8,14,23,16,1019,54,4,20141021170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,93,49,37,7,8,12,24,16,1018,50,5,20141021170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,93,49,37,7,8,12,24,16,1018,50,5,20141021170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,68,37,29,13,9,8,23,16,1019,54,4,20141021170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,68,37,29,13,9,8,23,16,1019,54,4,20141021170000
89,Shaoguan,,24.807342,113.602712,93,49,29,13,9,18,23,16,1019,54,4,20141021170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,176,98,48,15,33,9,24,22,1015,89,2,20141021170000
91,Shantou,,23.350642,116.686306,163,70,41,27,10,13,24,22,1015,89,2,20141021170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,74,24,29,16,5,10,24,22,1016,91,1,20141021170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,74,30,29,6,4,3,24,22,1016,91,1,20141021170000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,68,30,31,1,8,6,24,22,1016,91,1,20141021170000
95,"Zhanjiang Theatre, Zhanjiang",,21.268177,110.366445,102,43,25,11,5,19,24,22,1016,91,1,20141021170000
96,"Mazhang EPA, Zhanjiang",,21.265486,110.335993,97,52,7,-,11,10,24,22,1016,91,1,20141021170000
97,"Potou District EPB, Zhanjiang",,21.247604,110.454508,82,46,26,20,2,11,24,22,1016,91,1,20141021170000
98,Zhanjiang,,21.26832,110.363883,102,52,31,20,11,19,24,22,1016,91,1,20141021170000
99,"Maogang sub-office EPB, Maoming",,21.466435,111.033462,65,53,28,5,8,4,25,23,0,87,1,20141021170000
100,"Petrochemical No. 7 elementaty school, Maoming",,21.648905,110.937861,87,38,28,12,3,8,25,23,0,87,1,20141021170000
101,"Jiankang road, Maoming",,21.662211,110.909482,87,40,21,15,6,8,25,23,0,87,1,20141021170000
102,"Gaoling, Maoming",,21.690558,110.871146,82,52,17,14,10,7,25,23,0,87,1,20141021170000
1094,Maoming,,21.660223,110.929968,87,52,28,15,10,8,25,23,0,87,1,20141021170000
103,"Jiaying University, Meizhou",,24.325415,116.12816,149,69,33,9,6,9,24,22,1015,89,2,20141021170000
104,"Mexian new town, Meizhou",,24.269283,116.084546,137,46,31,10,6,11,24,22,1015,89,2,20141021170000
105,"Environmental Monitoring Center, Meizhou",,24.262778,116.129621,158,72,29,19,13,10,24,22,1015,89,2,20141021170000
