locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,162,99,86,23,5,11,23,18,1007,73,2,20140808170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,162,87,111,32,3,11,23,18,1007,73,2,20140808170000
3,West Park officials,,39.930333,116.345162,165,80,96,21,6,10,23,18,1007,73,2,20140808170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,153,81,90,27,4,12,23,18,1007,73,2,20140808170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,157,87,90,22,5,9,23,18,1007,73,2,20140808170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,156,78,145,28,8,12,23,18,1007,73,2,20140808170000
7,Haidian Wanliu,,39.988245,116.293062,158,94,46,33,8,7,23,18,1007,73,2,20140808170000
8,The Haidian northern New Area,,40.091313,116.180194,152,76,50,16,5,7,23,18,1007,73,2,20140808170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,156,74,99,21,4,11,23,18,1007,73,2,20140808170000
10,Fengtai garden,,39.86423,116.285037,160,93,62,32,6,9,23,18,1007,73,2,20140808170000
11,Fengtai Yungang,,39.82535,116.152237,159,85,48,25,3,8,23,18,1007,73,2,20140808170000
12,Shijingshan city,,39.915286,116.190144,164,118,50,40,4,9,23,18,1007,73,2,20140808170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,159,81,38,22,3,9,23,18,1007,73,2,20140808170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,163,84,112,22,6,11,23,18,1007,73,2,20140808170000
15,BDA,,39.796197,116.51197,172,83,187,20,6,15,23,18,1007,73,2,20140808170000
16,Tongzhou New Town,,39.887113,116.6689,178,108,99,50,5,14,23,18,1007,73,2,20140808170000
17,Shunyi New Town ,,40.128111,116.660908,181,124,115,24,5,14,23,18,1007,73,2,20140808170000
18,Changping Town,,40.218245,116.236084,154,88,65,23,3,7,23,18,1007,73,2,20140808170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,152,92,55,36,2,7,23,18,1007,73,2,20140808170000
20,Pinggu town,,40.144433,117.106563,168,80,114,8,5,12,23,18,1007,73,2,20140808170000
21,Huairou town,,40.329104,116.63387,188,128,118,26,6,13,23,18,1007,73,2,20140808170000
22,The town of Miyun,,40.371186,116.838053,165,78,160,9,8,14,23,18,1007,73,2,20140808170000
23,Yanqing town,,40.454217,115.978106,147,60,87,12,4,7,23,18,1007,73,2,20140808170000
24,Changping Dingling,,40.293269,116.226108,143,53,72,7,2,7,23,18,1007,73,2,20140808170000
25,Badaling Northwest,,40.36623,115.994146,151,54,38,61,4,8,23,18,1007,73,2,20140808170000
26,Miyun Reservoir,,40.500157,116.91701,168,66,161,4,9,12,23,18,1007,73,2,20140808170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,154,80,127,14,4,10,23,18,1007,73,2,20140808170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,173,82,40,19,5,13,23,18,1007,73,2,20140808170000
29,"Yufazhen, Daxing",,39.521203,116.306026,161,75,52,7,2,12,23,18,1007,73,2,20140808170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,154,77,35,6,9,6,23,18,1007,73,2,20140808170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,165,99,25,47,2,12,23,18,1007,73,2,20140808170000
32,Yongdingmen Inner St,,39.877401,116.400238,167,101,73,55,6,12,23,18,1007,73,2,20140808170000
33,Xizhimen N St,,39.955352,116.355187,165,87,42,30,9,11,23,18,1007,73,2,20140808170000
34,South Ring Road,,39.857377,116.37421,161,103,30,57,4,12,23,18,1007,73,2,20140808170000
35,East Fourth Ring Road,,39.940273,116.489075,167,78,102,61,2,12,23,18,1007,73,2,20140808170000
36,Beijing,,39.955906,116.474246,159,78,160,25,7,11,23,18,1007,73,2,20140808170000
37,Putuo,,31.232979,121.415378,83,51,6,20,5,4,26,25,1004,94,2,20140808170000
38,Yangpu Sipiao,,31.263795,121.540311,85,50,24,8,5,2,26,25,1004,94,2,20140808170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,85,35,9,14,3,7,26,25,1004,94,2,20140808170000
40,Dianshan Lake,,31.091338,120.982293,70,50,37,6,3,9,26,25,1004,94,2,20140808170000
41,Hongkou Liangcheng,,31.298906,121.47155,95,41,16,9,6,4,26,25,1004,94,2,20140808170000
42,Jingan,,31.224251,121.429637,86,29,11,13,4,8,26,25,1004,94,2,20140808170000
43,Shanghai Normal University,,31.163531,121.416643,90,36,9,17,3,6,26,25,1004,94,2,20140808170000
44,Chuansha,,31.188626,121.707342,96,34,18,5,4,4,26,25,1004,94,2,20140808170000
45,Zhangjiang,,31.204896,121.581215,97,53,18,8,3,4,26,25,1004,94,2,20140808170000
46,Lingshan Road,,31.226286,121.537317,88,42,18,10,6,4,26,25,1004,94,2,20140808170000
1080,City average,,31.228451,121.478227,89,41,14,12,4,5,26,25,1004,94,2,20140808170000
47,Shanghai,,31.202842,121.453493,86,35,11,14,4,8,26,25,1004,94,2,20140808170000
48,Guangzhou,,23.138517,113.263701,80,36,33,23,17,9,31,25,1003,70,3,20140808170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,87,40,49,23,13,10,30,26,1003,79,2,20140808170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,102,58,92,38,8,4,30,26,1003,79,2,20140808170000
51,"LuHu, Guangzhou",,23.151743,113.281842,80,33,32,23,16,7,30,26,1003,79,2,20140808170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,89,47,133,11,11,6,30,26,1003,79,2,20140808170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,89,42,57,25,17,10,30,26,1003,79,2,20140808170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,38,28,27,16,7,8,30,26,1003,79,2,20140808170000
55,Zhuhai,,22.225269,113.304202,50,43,26,16,3,10,30,26,1004,79,5,20140808170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,59,20,26,8,6,7,30,26,1003,79,2,20140808170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,74,35,35,9,7,6,30,26,1003,79,2,20140808170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,72,34,23,10,3,8,30,26,1003,79,2,20140808170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,85,43,33,11,8,6,30,26,1003,79,2,20140808170000
