locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1041,Jinchang,,38.520527,102.190032,95,50,113,9,10,16,21,7,0,37,2,20140820170000
1,Dongcheng Dongsi,,39.9304,116.423239,180,90,108,21,8,11,26,19,1008,65,3,20140820170000
1042,"Jiuquan Refractories Company, Jiayuguan",,39.81311,98.226468,109,75,42,4,5,4,23,8,1006,26,2,20140820170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,178,89,119,18,6,10,26,19,1008,65,3,20140820170000
1043,"Bureau of Meteorology, Jiayuguan",,39.772669,98.291156,122,67,49,6,3,5,23,8,1006,26,2,20140820170000
3,West Park officials,,39.930333,116.345162,177,86,127,13,6,11,26,19,1008,65,3,20140820170000
1044,Jiayuguan,,39.773962,98.289751,122,75,49,6,5,5,23,8,1006,26,2,20140820170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,175,83,106,24,4,11,26,19,1008,65,3,20140820170000
1045,"Helanshan Maliankou, Yinchuan",,38.601939,105.955167,85,79,47,13,4,7,23,14,1006,48,2,20140820170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,178,88,101,27,3,9,26,19,1008,65,3,20140820170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,170,90,130,17,7,11,26,19,1008,65,3,20140820170000
7,Haidian Wanliu,,39.988245,116.293062,174,96,93,20,9,10,26,19,1008,65,3,20140820170000
8,The Haidian northern New Area,,40.091313,116.180194,182,87,74,17,4,13,26,19,1008,65,3,20140820170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,176,81,150,14,3,12,26,19,1008,65,3,20140820170000
1046,"Ninghua living area, Yinchuan",,38.486419,106.076569,172,105,49,28,5,9,23,14,1006,48,2,20140820170000
10,Fengtai garden,,39.86423,116.285037,175,93,127,11,7,10,26,19,1008,65,3,20140820170000
1047,"Helanshan East Road, Yinchuan",,38.49796,106.237399,158,95,32,17,25,8,23,14,1006,48,2,20140820170000
11,Fengtai Yungang,,39.82535,116.152237,173,83,104,14,3,11,26,19,1008,65,3,20140820170000
