locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,96,59,19,30,14,12,5,-19,1024,16,3,20141214170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,181,98,15,52,22,16,0,-14,1025,35,0,20141214170000
3,West Park officials,,39.930333,116.345162,166,83,16,47,21,13,4,-18,1024,19,2,20141214170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,182,114,17,59,24,12,4,-18,1024,19,2,20141214170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,157,82,12,31,21,20,-5,-12,1028,59,2,20141214170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,185,108,21,44,30,12,-5,-14,1028,50,1,20141214170000
7,Haidian Wanliu,,39.988245,116.293062,197,144,13,49,42,22,-7,-13,1027,63,0,20141214170000
8,The Haidian northern New Area,,40.091313,116.180194,164,85,4,42,20,26,4,-18,1024,19,2,20141214170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,160,80,13,43,20,15,5,-19,1024,16,3,20141214170000
10,Fengtai garden,,39.86423,116.285037,232,137,3,60,29,20,1,-15,1025,30,2,20141214170000
11,Fengtai Yungang,,39.82535,116.152237,136,69,1,29,14,17,-8,-14,1027,63,2,20141214170000
12,Shijingshan city,,39.915286,116.190144,172,106,19,34,25,19,5,-19,1024,16,3,20141214170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,172,89,6,31,13,38,-8,-14,1027,63,2,20141214170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,223,118,6,39,40,17,-7,-13,1027,63,0,20141214170000
15,BDA,,39.796197,116.51197,211,108,8,51,27,18,0,-12,1025,41,2,20141214170000
16,Tongzhou New Town,,39.887113,116.6689,181,93,1,37,34,49,-1,-14,1028,37,4,20141214170000
17,Shunyi New Town ,,40.128111,116.660908,118,56,14,18,21,15,1,-16,1028,28,2,20141214170000
18,Changping Town,,40.218245,116.236084,87,43,22,14,24,12,1,-16,1028,28,2,20141214170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,199,107,5,45,34,25,0,-11,1025,44,2,20141214170000
20,Pinggu town,,40.144433,117.106563,128,63,6,24,9,21,-7,-14,1027,58,2,20141214170000
21,Huairou town,,40.329104,116.63387,122,59,19,25,8,18,-8,-14,1027,63,2,20141214170000
22,The town of Miyun,,40.371186,116.838053,155,57,1,22,9,22,-7,-14,1027,58,2,20141214170000
23,Yanqing town,,40.454217,115.978106,179,86,1,21,16,23,-5,-12,1028,59,2,20141214170000
24,Changping Dingling,,40.293269,116.226108,152,71,23,20,19,6,6,-19,1024,15,2,20141214170000
25,Badaling Northwest,,40.36623,115.994146,85,48,8,14,46,6,-8,-14,1027,63,2,20141214170000
26,Miyun Reservoir,,40.500157,116.91701,174,89,22,24,21,5,0,-14,1025,35,0,20141214170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,197,115,12,53,38,17,0,-12,1025,41,2,20141214170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,241,136,5,61,28,25,1,-15,1025,30,2,20141214170000
29,"Yufazhen, Daxing",,39.521203,116.306026,192,245,1,37,29,43,3,-16,1027,24,2,20141214170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,435,-,9,56,58,31,0,-14,1025,35,0,20141214170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,196,97,5,49,26,20,0,-12,1025,41,2,20141214170000
32,Yongdingmen Inner St,,39.877401,116.400238,200,112,3,56,38,21,0,-12,1025,41,2,20141214170000
33,Xizhimen N St,,39.955352,116.355187,140,65,5,32,19,17,6,-19,1024,15,1,20141214170000
34,South Ring Road,,39.857377,116.37421,198,116,1,57,39,30,-8,-14,1027,63,2,20141214170000
35,East Fourth Ring Road,,39.940273,116.489075,162,78,1,30,25,30,-1,-14,1028,37,4,20141214170000
36,Beijing,,39.955906,116.474246,144,48,5,18,13,15,5,-18,1027,18,2,20141214170000
37,Putuo,,31.232979,121.415378,152,79,24,37,28,13,10,-7,1030,30,2,20141214170000
38,Yangpu Sipiao,,31.263795,121.540311,155,68,24,28,17,14,11,-7,1027,28,3,20141214170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,167,90,23,40,32,15,8,-5,1032,40,2,20141214170000
40,Dianshan Lake,,31.091338,120.982293,232,141,24,49,56,22,8,-5,1032,40,2,20141214170000
41,Hongkou Liangcheng,,31.298906,121.47155,175,103,23,49,14,17,3,-6,1031,52,1,20141214170000
42,Jingan,,31.224251,121.429637,163,79,23,32,21,11,11,-7,1027,28,3,20141214170000
43,Shanghai Normal University,,31.163531,121.416643,163,78,28,41,18,11,10,-7,1028,30,4,20141214170000
