locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,131,50,37,20,3,6,24,22,1007,89,1,20140805170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,104,50,38,23,2,6,24,22,1007,89,1,20140805170000
3,West Park officials,,39.930333,116.345162,94,56,37,29,2,6,24,22,1007,89,1,20140805170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,125,62,35,33,2,7,24,22,1007,89,1,20140805170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,112,66,32,34,2,4,24,22,1007,89,1,20140805170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,93,48,43,11,3,7,24,22,1007,89,1,20140805170000
7,Haidian Wanliu,,39.988245,116.293062,106,60,28,32,3,5,24,22,1007,89,1,20140805170000
8,The Haidian northern New Area,,40.091313,116.180194,133,60,29,25,3,6,24,22,1007,89,1,20140805170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,106,49,39,15,2,7,24,22,1007,89,1,20140805170000
10,Fengtai garden,,39.86423,116.285037,151,68,28,32,3,6,24,22,1007,89,1,20140805170000
11,Fengtai Yungang,,39.82535,116.152237,118,61,32,16,2,6,24,22,1007,89,1,20140805170000
12,Shijingshan city,,39.915286,116.190144,132,81,32,30,2,6,24,22,1007,89,1,20140805170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,128,61,23,22,2,6,24,22,1007,89,1,20140805170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,152,60,37,16,3,6,24,22,1007,89,1,20140805170000
15,BDA,,39.796197,116.51197,156,60,42,16,2,6,24,22,1007,89,1,20140805170000
16,Tongzhou New Town,,39.887113,116.6689,157,77,33,35,2,5,24,22,1007,89,1,20140805170000
17,Shunyi New Town ,,40.128111,116.660908,156,80,40,30,2,6,24,22,1007,89,1,20140805170000
18,Changping Town,,40.218245,116.236084,88,56,50,14,2,6,24,22,1007,89,1,20140805170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,113,81,22,30,2,6,24,22,1007,89,1,20140805170000
20,Pinggu town,,40.144433,117.106563,73,13,37,15,2,4,24,22,1007,89,1,20140805170000
21,Huairou town,,40.329104,116.63387,129,75,42,5,3,5,24,22,1007,89,1,20140805170000
22,The town of Miyun,,40.371186,116.838053,103,13,53,10,4,5,24,22,1007,89,1,20140805170000
23,Yanqing town,,40.454217,115.978106,136,-,51,10,5,6,24,22,1007,89,1,20140805170000
24,Changping Dingling,,40.293269,116.226108,95,44,60,12,2,5,24,22,1007,89,1,20140805170000
25,Badaling Northwest,,40.36623,115.994146,99,-,42,18,25,7,24,22,1007,89,1,20140805170000
26,Miyun Reservoir,,40.500157,116.91701,72,13,68,3,2,1,24,22,1007,89,1,20140805170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,108,69,42,14,4,2,24,22,1007,89,1,20140805170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,142,50,24,13,2,4,24,22,1007,89,1,20140805170000
29,"Yufazhen, Daxing",,39.521203,116.306026,116,60,21,7,2,5,24,22,1007,89,1,20140805170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,126,-,27,13,11,3,24,22,1007,89,1,20140805170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,151,50,17,29,2,7,24,22,1007,89,1,20140805170000
32,Yongdingmen Inner St,,39.877401,116.400238,120,50,32,31,4,6,24,22,1007,89,1,20140805170000
33,Xizhimen N St,,39.955352,116.355187,-,66,23,30,8,7,24,22,1007,89,1,20140805170000
34,South Ring Road,,39.857377,116.37421,144,82,16,47,4,7,24,22,1007,89,1,20140805170000
35,East Fourth Ring Road,,39.940273,116.489075,102,-,38,42,2,6,24,22,1007,89,1,20140805170000
36,Beijing,,39.955906,116.474246,93,48,50,19,4,7,24,22,1007,89,1,20140805170000
37,Putuo,,31.232979,121.415378,52,27,36,7,6,2,29,25,1004,79,5,20140805170000
38,Yangpu Sipiao,,31.263795,121.540311,68,20,36,10,5,12,29,25,1004,79,5,20140805170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,52,14,31,10,4,6,29,25,1004,79,5,20140805170000
40,Dianshan Lake,,31.091338,120.982293,58,37,48,11,4,6,29,25,1004,79,5,20140805170000
41,Hongkou Liangcheng,,31.298906,121.47155,56,22,33,10,6,5,29,25,1004,79,5,20140805170000
42,Jingan,,31.224251,121.429637,56,33,32,8,4,9,29,25,1004,79,5,20140805170000
43,Shanghai Normal University,,31.163531,121.416643,65,24,35,12,4,5,29,25,1004,79,5,20140805170000
44,Chuansha,,31.188626,121.707342,48,16,23,7,4,4,29,25,1004,79,5,20140805170000
45,Zhangjiang,,31.204896,121.581215,81,27,32,9,3,5,29,25,1004,79,5,20140805170000
46,Lingshan Road,,31.226286,121.537317,70,22,32,10,5,4,29,25,1004,79,5,20140805170000
1080,City average,,31.228451,121.478227,61,23,32,9,4,5,29,25,1004,79,5,20140805170000
47,Shanghai,,31.202842,121.453493,56,33,32,10,4,9,29,25,1004,79,5,20140805170000
48,Guangzhou,,23.138517,113.263701,72,39,39,22,6,8,29,25,1004,79,1,20140805170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,102,43,95,26,11,9,29,25,1004,79,1,20140805170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,95,41,47,21,4,9,29,25,1004,79,1,20140805170000
51,"LuHu, Guangzhou",,23.151743,113.281842,78,39,38,20,6,6,29,25,1004,79,1,20140805170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,74,27,106,5,4,5,29,25,1004,79,1,20140805170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,102,43,97,26,11,10,29,25,1004,79,1,20140805170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,42,36,36,14,4,8,29,25,1004,79,1,20140805170000
55,Zhuhai,,22.225269,113.304202,61,26,34,11,4,10,29,26,1004,84,5,20140805170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,68,27,34,18,9,7,30,25,1004,74,2,20140805170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,93,45,46,19,15,8,30,25,1004,74,2,20140805170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,74,26,28,22,4,9,30,25,1004,74,2,20140805170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,93,44,47,16,10,9,30,25,1004,74,2,20140805170000
1087,Foshan,,22.999349,113.110189,74,28,34,22,9,9,30,25,1004,74,2,20140805170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,72,31,30,12,7,11,30,25,1004,74,2,20140805170000
60,Shunde,,22.806658,113.293112,72,31,31,12,12,11,30,25,1004,74,2,20140805170000
61,"Donghu, Jiangmen",,22.590411,113.087351,55,15,33,6,4,4,29,26,1004,84,5,20140805170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,55,26,30,8,5,7,29,26,1004,84,5,20140805170000
63,Jiangmen,,22.604218,113.109062,55,27,33,6,6,10,29,26,1004,84,5,20140805170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,68,38,48,12,10,7,29,25,1004,79,1,20140805170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,119,53,34,22,13,10,29,25,1004,79,1,20140805170000
66,"Qixingyanzi station, Zhaoqing",,23.075974,112.477437,-,-,11,-,-,13,-,-,0,-,-,20140805170000
67,Zhaoqing,,23.050167,112.476039,119,53,42,22,14,10,29,25,1004,79,1,20140805170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,65,36,31,6,3,5,30,26,1004,79,3,20140805170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,87,40,21,9,4,4,30,26,1004,79,3,20140805170000
69,"Xijiao, Huizhou",,23.338178,114.112867,74,25,29,5,2,3,30,26,1004,79,3,20140805170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,72,53,28,12,4,2,30,26,1004,79,3,20140805170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,68,27,24,9,5,7,30,26,1004,79,3,20140805170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,63,17,24,8,5,3,30,26,1004,79,3,20140805170000
73,Huizhou,,23.079716,114.410253,87,53,28,12,4,5,30,26,1004,79,3,20140805170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,97,40,38,18,8,7,30,26,1004,79,3,20140805170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,93,31,39,13,5,6,30,26,1004,79,3,20140805170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,99,40,34,18,6,5,30,26,1004,79,3,20140805170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,93,38,38,11,9,7,30,26,1004,79,3,20140805170000
78,Dongguan,,23.050873,113.787057,112,46,39,18,9,7,30,26,1004,79,3,20140805170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,55,20,25,5,7,7,29,26,1004,84,5,20140805170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,46,19,28,4,2,5,29,26,1004,84,5,20140805170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,65,23,18,9,4,10,29,26,1004,84,5,20140805170000
82,Zhongshan,,22.545387,113.370459,65,23,28,9,7,10,29,26,1004,84,5,20140805170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,122,63,31,24,49,12,27,26,1004,93,2,20140805170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,122,63,31,24,49,12,27,26,1004,93,2,20140805170000
84,"Forest area, Shaoguan",,24.796106,113.612131,112,42,64,16,8,14,27,26,1004,93,2,20140805170000
84,"Forest area, Shaoguan",,24.796107,113.612131,112,42,64,16,8,14,27,26,1004,93,2,20140805170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,99,43,40,6,14,15,27,26,1004,93,2,20140805170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,99,43,40,6,14,15,27,26,1004,93,2,20140805170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,117,62,35,26,16,10,27,26,1004,93,2,20140805170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,117,62,35,26,16,10,27,26,1004,93,2,20140805170000
89,Shaoguan,,24.807342,113.602712,122,63,77,26,49,15,27,26,1004,93,2,20140805170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,55,50,17,6,7,9,29,26,1004,84,4,20140805170000
91,Shantou,,23.350642,116.686306,42,17,20,5,4,9,29,26,1004,84,4,20140805170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,34,17,5,-,7,5,28,26,1003,84,3,20140805170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,59,15,7,5,2,9,28,26,1003,84,3,20140805170000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,30,14,17,-,6,9,28,26,1003,84,3,20140805170000
95,"Zhanjiang Theatre, Zhanjiang",,21.268177,110.366445,42,20,8,5,4,3,28,26,1003,84,3,20140805170000
96,"Mazhang EPA, Zhanjiang",,21.265486,110.335993,21,19,25,4,4,11,28,26,1003,84,3,20140805170000
97,"Potou District EPB, Zhanjiang",,21.247604,110.454508,38,9,9,4,2,17,28,26,1003,84,3,20140805170000
98,Zhanjiang,,21.26832,110.363883,59,20,25,5,7,17,28,26,1003,84,3,20140805170000
99,"Maogang sub-office EPB, Maoming",,21.466435,111.033462,13,16,21,1,2,3,28,25,0,84,2,20140805170000
100,"Petrochemical No. 7 elementaty school, Maoming",,21.648905,110.937861,25,18,18,3,5,7,28,25,0,84,2,20140805170000
101,"Jiankang road, Maoming",,21.662211,110.909482,50,23,13,6,3,9,28,25,0,84,2,20140805170000
102,"Gaoling, Maoming",,21.690558,110.871146,57,24,17,6,8,9,28,25,0,84,2,20140805170000
1094,Maoming,,21.660223,110.929968,57,24,18,6,8,9,28,25,0,84,2,20140805170000
103,"Jiaying University, Meizhou",,24.325415,116.12816,59,25,21,2,5,4,29,26,1004,84,4,20140805170000
104,"Mexian new town, Meizhou",,24.269283,116.084546,61,40,23,8,9,6,29,26,1004,84,4,20140805170000
105,"Environmental Monitoring Center, Meizhou",,24.262778,116.129621,57,28,18,6,4,6,29,26,1004,84,4,20140805170000
1095,Meizhou,,24.285988,116.127065,61,40,23,8,9,6,29,26,1004,84,4,20140805170000
106,"City EPA, Shanwei",,22.772349,115.370227,46,14,23,2,4,7,29,26,1005,82,3,20140805170000
107,"City government, Shanwei",,22.787161,115.375536,55,15,22,5,5,7,29,26,1005,82,3,20140805170000
161,Deyang,,31.124715,104.400703,117,54,39,17,16,13,28,23,1003,74,1,20140805170000
108,"Xincheng Middle School, Shanwei",,22.789851,115.367124,46,10,22,1,3,5,29,26,1005,82,3,20140805170000
1099,Shanwei,,22.783576,115.38022,55,15,23,5,5,7,29,26,1005,82,3,20140805170000
109,"No.3 elementary school, Heyuan",,23.755946,114.699091,82,31,21,8,5,9,29,24,1005,73,1,20140805170000
109,"No.3 elementary school, Heyuan",,23.75435,114.703514,82,31,21,8,5,9,29,24,1005,73,1,20140805170000
