locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
134,Yantian,,22.587949,114.266899,99,40,38,9,6,10,26,21,1015,74,2,20141020170000
1,Dongcheng Dongsi,,39.9304,116.423239,94,118,13,19,5,15,14,9,1024,72,2,20141020170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,145,122,10,19,6,13,14,9,1024,72,2,20141020170000
3,West Park officials,,39.930333,116.345162,153,139,16,23,6,16,14,9,1024,72,2,20141020170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,141,126,11,24,3,15,14,9,1024,72,2,20141020170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,152,162,11,25,6,14,14,9,1024,72,2,20141020170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,154,150,12,24,4,13,14,9,1024,72,2,20141020170000
7,Haidian Wanliu,,39.988245,116.293062,198,145,-,44,5,-,14,9,1024,72,2,20141020170000
8,The Haidian northern New Area,,40.091313,116.180194,205,-,11,34,12,15,14,9,1024,72,2,20141020170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,193,-,26,33,7,15,14,9,1024,72,2,20141020170000
10,Fengtai garden,,39.86423,116.285037,162,-,13,20,7,15,14,9,1024,72,2,20141020170000
11,Fengtai Yungang,,39.82535,116.152237,198,-,13,20,5,15,14,9,1024,72,2,20141020170000
12,Shijingshan city,,39.915286,116.190144,185,140,18,34,6,16,14,9,1024,72,2,20141020170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,158,-,10,17,4,13,14,9,1024,72,2,20141020170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,171,-,4,26,6,14,14,9,1024,72,2,20141020170000
15,BDA,,39.796197,116.51197,131,-,13,17,6,13,14,9,1024,72,2,20141020170000
16,Tongzhou New Town,,39.887113,116.6689,136,-,4,27,6,12,14,9,1024,72,2,20141020170000
17,Shunyi New Town ,,40.128111,116.660908,160,142,10,25,4,15,14,9,1024,72,2,20141020170000
18,Changping Town,,40.218245,116.236084,212,149,2,54,8,22,14,9,1024,72,2,20141020170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,179,-,17,23,6,15,14,9,1024,72,2,20141020170000
20,Pinggu town,,40.144433,117.106563,155,-,14,37,24,20,14,9,1024,72,2,20141020170000
21,Huairou town,,40.329104,116.63387,178,114,22,24,3,15,14,9,1024,72,2,20141020170000
22,The town of Miyun,,40.371186,116.838053,188,139,23,20,7,17,14,9,1024,72,2,20141020170000
23,Yanqing town,,40.454217,115.978106,272,-,27,30,2,16,14,9,1024,72,2,20141020170000
24,Changping Dingling,,40.293269,116.226108,244,181,22,30,3,14,14,9,1024,72,2,20141020170000
25,Badaling Northwest,,40.36623,115.994146,264,-,26,45,8,15,14,9,1024,72,2,20141020170000
26,Miyun Reservoir,,40.500157,116.91701,209,-,37,8,7,17,14,9,1024,72,2,20141020170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,154,-,21,42,23,19,14,9,1024,72,2,20141020170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,94,-,8,23,5,9,14,9,1024,72,2,20141020170000
29,"Yufazhen, Daxing",,39.521203,116.306026,115,-,7,10,5,11,14,9,1024,72,2,20141020170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,159,178,12,13,4,8,14,9,1024,72,2,20141020170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,160,-,4,23,2,15,14,9,1024,72,2,20141020170000
32,Yongdingmen Inner St,,39.877401,116.400238,13,-,5,27,7,15,14,9,1024,72,2,20141020170000
33,Xizhimen N St,,39.955352,116.355187,161,-,-,-,-,-,14,9,1024,72,2,20141020170000
34,South Ring Road,,39.857377,116.37421,199,-,1,37,4,19,14,9,1023,72,2,20141020170000
35,East Fourth Ring Road,,39.940273,116.489075,-,124,-,-,-,-,-,-,0,-,-,20141020170000
36,Beijing,,39.955906,116.474246,154,166,12,24,4,13,14,9,1023,72,2,20141020170000
37,Putuo,,31.232979,121.415378,138,58,31,34,8,6,22,19,1013,83,2,20141020170000
38,Yangpu Sipiao,,31.263795,121.540311,155,65,30,26,9,11,22,19,1013,83,2,20141020170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,154,73,29,40,5,11,22,19,1013,83,2,20141020170000
40,Dianshan Lake,,31.091338,120.982293,163,66,29,41,8,6,22,19,1013,83,2,20141020170000
41,Hongkou Liangcheng,,31.298906,121.47155,132,53,38,30,8,13,22,19,1013,83,2,20141020170000
42,Jingan,,31.224251,121.429637,135,59,34,29,9,8,22,19,1013,83,2,20141020170000
43,Shanghai Normal University,,31.163531,121.416643,147,67,28,36,7,7,22,19,1013,83,2,20141020170000
44,Chuansha,,31.188626,121.707342,22,43,33,12,6,6,22,19,1013,83,2,20141020170000
45,Zhangjiang,,31.204896,121.581215,102,43,41,14,4,6,22,19,1013,83,2,20141020170000
46,Lingshan Road,,31.226286,121.537317,124,55,38,27,9,6,22,19,1013,83,2,20141020170000
1080,City average,,31.228451,121.478227,126,58,33,27,7,8,22,19,1013,83,2,20141020170000
47,Shanghai,,31.202842,121.453493,154,73,34,40,9,11,22,19,1013,83,2,20141020170000
48,Guangzhou,,23.138517,113.263701,129,62,31,38,15,10,27,21,1015,70,1,20141020170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,151,71,34,24,13,4,26,21,1015,74,0,20141020170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,160,81,47,23,7,6,26,21,1015,74,0,20141020170000
51,"LuHu, Guangzhou",,23.151743,113.281842,127,47,30,30,16,8,26,21,1015,74,0,20141020170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,104,56,156,14,11,8,26,21,1015,74,0,20141020170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,156,83,62,38,14,9,26,21,1015,74,0,20141020170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,99,79,25,35,9,3,26,21,1015,74,0,20141020170000
55,Zhuhai,,22.2677,113.581765,137,55,41,12,9,14,26,23,1015,83,3,20141020170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,132,57,46,18,16,5,27,21,1015,70,0,20141020170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,151,62,46,27,23,8,27,21,1015,70,0,20141020170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,119,56,36,16,10,9,27,21,1015,70,0,20141020170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,147,54,43,22,13,6,27,21,1015,70,0,20141020170000
1087,Foshan,,23.018995,113.126899,132,58,46,18,16,9,27,21,1015,70,0,20141020170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,119,58,31,10,7,9,27,21,1015,70,0,20141020170000
60,Shunde,,22.80246,113.298701,119,58,32,19,15,9,-,-,0,-,-,20141020170000
61,"Donghu, Jiangmen",,22.590411,113.087351,109,49,36,12,5,2,26,23,1015,83,3,20141020170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,95,57,36,11,7,6,26,23,1015,83,3,20141020170000
63,Jiangmen,,22.576047,113.087351,119,54,36,12,14,9,26,22,1015,78,2,20141020170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,124,57,51,14,11,9,27,21,1015,70,0,20141020170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,107,52,40,28,13,7,27,21,1015,70,0,20141020170000
67,Zhaoqing,,23.044571,112.470346,132,54,44,28,13,7,27,21,1015,70,0,20141020170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,87,51,44,6,4,5,26,21,1015,74,2,20141020170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,132,65,34,12,5,6,26,21,1015,74,2,20141020170000
69,"Xijiao, Huizhou",,23.338178,114.112867,132,54,37,11,52,8,26,21,1015,74,2,20141020170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,134,82,45,30,5,9,26,21,1015,74,2,20141020170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,99,52,41,11,5,7,26,21,1015,74,2,20141020170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,112,63,42,13,5,4,26,21,1015,74,2,20141020170000
73,Huizhou,,23.109349,114.421164,134,82,45,30,7,9,26,21,1015,74,2,20141020170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,142,68,65,27,10,7,26,21,1015,74,2,20141020170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,132,58,42,33,7,5,26,21,1015,74,2,20141020170000
