locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,142,73,12,22,10,6,5,1,1017,76,1,20141103170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,151,67,9,37,4,6,5,1,1017,76,1,20141103170000
3,West Park officials,,39.930333,116.345162,154,77,23,31,8,4,5,1,1017,76,1,20141103170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,137,76,25,40,3,4,14,-4,1017,29,4,20141103170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,145,73,7,31,6,6,5,1,1017,76,1,20141103170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,145,75,15,39,11,5,6,0,1018,66,1,20141103170000
7,Haidian Wanliu,,39.988245,116.293062,142,78,15,44,7,5,11,-2,1018,41,3,20141103170000
8,The Haidian northern New Area,,40.091313,116.180194,121,41,7,15,4,7,5,1,1017,76,1,20141103170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,85,41,18,12,2,4,5,1,1017,76,1,20141103170000
10,Fengtai garden,,39.86423,116.285037,157,82,5,33,7,6,5,1,1017,76,1,20141103170000
11,Fengtai Yungang,,39.82535,116.152237,155,77,22,22,5,3,5,1,1017,76,1,20141103170000
12,Shijingshan city,,39.915286,116.190144,124,47,32,28,4,3,5,1,1017,76,1,20141103170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,162,92,5,33,4,7,5,1,1017,76,1,20141103170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,164,81,24,26,13,4,5,1,1017,76,1,20141103170000
15,BDA,,39.796197,116.51197,158,80,24,25,10,6,6,0,1018,66,1,20141103170000
16,Tongzhou New Town,,39.887113,116.6689,156,63,24,24,14,5,5,1,1017,76,1,20141103170000
17,Shunyi New Town ,,40.128111,116.660908,153,78,6,21,2,6,5,1,1017,76,1,20141103170000
18,Changping Town,,40.218245,116.236084,82,42,20,10,3,5,6,0,1018,66,1,20141103170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,123,53,6,25,2,11,5,1,1017,76,1,20141103170000
20,Pinggu town,,40.144433,117.106563,101,46,19,9,3,6,5,1,1017,76,1,20141103170000
21,Huairou town,,40.329104,116.63387,76,32,16,8,2,6,5,1,1017,76,1,20141103170000
22,The town of Miyun,,40.371186,116.838053,156,66,20,25,3,1,8,0,1018,57,1,20141103170000
23,Yanqing town,,40.454217,115.978106,153,63,11,12,5,13,5,1,1017,76,1,20141103170000
24,Changping Dingling,,40.293269,116.226108,59,31,20,5,3,5,5,1,1017,76,1,20141103170000
25,Badaling Northwest,,40.36623,115.994146,79,25,20,5,6,4,5,1,1017,76,1,20141103170000
26,Miyun Reservoir,,40.500157,116.91701,54,38,30,5,2,3,5,1,1017,76,1,20141103170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,131,62,30,16,15,3,5,1,1017,76,1,20141103170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,156,79,9,32,9,4,5,1,1017,76,1,20141103170000
29,"Yufazhen, Daxing",,39.521203,116.306026,156,76,18,14,19,5,5,1,1017,76,1,20141103170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,167,91,28,28,4,3,5,1,1017,76,1,20141103170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,156,77,3,28,4,7,6,0,1018,66,1,20141103170000
32,Yongdingmen Inner St,,39.877401,116.400238,160,84,8,32,12,6,5,1,1017,76,1,20141103170000
33,Xizhimen N St,,39.955352,116.355187,156,80,,,,,5,1,1017,76,1,20141103170000
34,South Ring Road,,39.857377,116.37421,160,79,9,44,6,5,5,1,1017,76,1,20141103170000
35,East Fourth Ring Road,,39.940273,116.489075,156,71,,,,,5,1,1017,76,1,20141103170000
36,Beijing,,39.955906,116.474246,153,73,12,22,9,6,5,1,1017,76,1,20141103170000
37,Putuo,,31.232979,121.415378,104,56,21,45,12,5,14,4,1023,51,1,20141103170000
38,Yangpu Sipiao,,31.263795,121.540311,119,52,32,26,7,9,14,4,1023,51,1,20141103170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,103,53,27,36,9,7,14,4,1023,51,1,20141103170000
40,Dianshan Lake,,31.091338,120.982293,160,81,18,48,19,8,14,4,1023,51,1,20141103170000
41,Hongkou Liangcheng,,31.298906,121.47155,95,53,20,42,10,9,14,4,1023,51,1,20141103170000
42,Jingan,,31.224251,121.429637,88,51,26,23,11,5,14,4,1023,51,1,20141103170000
43,Shanghai Normal University,,31.163531,121.416643,95,55,23,50,7,6,14,4,1023,51,1,20141103170000
44,Chuansha,,31.188626,121.707342,119,65,22,38,6,7,14,4,1023,51,1,20141103170000
45,Zhangjiang,,31.204896,121.581215,85,53,22,45,9,5,12,6,1023,67,1,20141103170000
46,Lingshan Road,,31.226286,121.537317,87,58,27,51,6,3,12,6,1023,67,1,20141103170000
1080,City average,,31.228451,121.478227,99,55,24,40,9,6,14,4,1023,51,1,20141103170000
47,Shanghai,,31.202842,121.453493,99,52,28,33,8,6,14,4,1023,51,1,20141103170000
48,Guangzhou,,23.138517,113.263701,161,83,21,49,15,13,22,11,1018,50,1,20141103170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,117,52,45,16,18,2,22,11,1018,50,1,20141103170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,181,99,27,18,8,22,22,11,1018,50,1,20141103170000
51,"LuHu, Guangzhou",,23.151743,113.281842,139,66,12,45,11,14,22,11,1018,50,1,20141103170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,153,55,48,4,12,8,22,11,1018,50,1,20141103170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,151,70,41,26,25,8,22,11,1018,50,1,20141103170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,134,100,18,58,35,7,22,11,1018,50,1,20141103170000
55,Zhuhai,,22.2677,113.581765,114,58,18,17,4,11,21,16,1017,73,5,20141103170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,139,65,16,52,11,10,22,11,1018,50,1,20141103170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,286,255,25,33,26,12,22,11,1018,50,1,20141103170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,127,66,10,54,13,16,22,11,1018,50,1,20141103170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,153,82,28,31,32,10,22,11,1018,50,1,20141103170000
1087,Foshan,,23.018995,113.126899,127,66,21,54,13,16,22,11,1018,50,1,20141103170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,158,75,18,33,27,13,22,11,1018,50,1,20141103170000
60,Shunde,,22.80246,113.298701,162,66,18,35,18,7,-,-,0,-,-,20141103170000
61,"Donghu, Jiangmen",,22.590411,113.087351,144,67,17,13,13,7,21,16,1017,73,5,20141103170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,160,87,18,26,27,12,21,16,1017,73,5,20141103170000
63,Jiangmen,,22.576047,113.087351,144,67,17,13,13,7,21,16,1017,73,5,20141103170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,132,56,39,13,14,9,22,11,1018,50,1,20141103170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,153,72,29,36,17,13,22,11,1018,50,1,20141103170000
67,Zhaoqing,,23.044571,112.470346,159,74,24,19,17,6,22,11,1018,50,1,20141103170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,149,61,32,7,6,7,22,14,1018,60,2,20141103170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,152,67,24,14,8,5,22,14,1018,60,2,20141103170000
69,"Xijiao, Huizhou",,23.338178,114.112867,157,61,29,14,10,9,22,14,1018,60,2,20141103170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,210,156,31,19,12,9,22,14,1018,60,2,20141103170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,157,73,16,28,10,13,22,14,1018,60,2,20141103170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,147,75,16,33,5,8,22,14,1018,60,2,20141103170000
73,Huizhou,,23.109349,114.421164,210,156,31,19,12,9,22,14,1018,60,2,20141103170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,172,94,17,41,17,11,22,14,1018,60,2,20141103170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,165,80,15,54,17,10,22,14,1018,60,2,20141103170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,165,109,12,49,17,11,22,14,1018,60,2,20141103170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,164,90,18,55,20,12,22,14,1018,60,2,20141103170000
78,Dongguan,,23.017813,113.756958,164,90,18,55,20,12,22,14,1018,60,2,20141103170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,109,39,14,7,9,4,21,17,1018,78,6,20141103170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,117,58,13,8,4,9,21,17,1018,78,6,20141103170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,137,48,13,8,7,13,21,17,1018,78,6,20141103170000
82,Zhongshan,,22.513997,113.398277,109,39,14,7,9,4,21,16,1018,73,6,20141103170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,112,60,32,12,16,10,15,11,1020,71,2,20141103170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,112,60,32,12,16,10,15,11,1020,71,2,20141103170000
84,"Forest area, Shaoguan",,24.796107,113.612131,112,53,38,5,13,8,15,11,1020,71,2,20141103170000
84,"Forest area, Shaoguan",,24.796106,113.612131,112,53,38,5,13,8,15,11,1020,71,2,20141103170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,119,44,20,18,10,7,15,11,1020,71,2,20141103170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,119,44,20,18,10,7,15,11,1020,71,2,20141103170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,161,79,23,33,12,14,15,11,1020,71,2,20141103170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,161,79,23,33,12,14,15,11,1020,71,2,20141103170000
89,Shaoguan,,24.807342,113.602712,112,53,38,5,13,8,15,11,1020,71,2,20141103170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,151,72,22,13,9,13,20,16,1019,78,5,20141103170000
91,Shantou,,23.350642,116.686306,129,73,26,10,9,15,20,16,1019,78,5,20141103170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,91,59,18,11,10,11,18,14,1018,71,2,20141103170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,107,53,16,11,10,5,18,14,1018,71,2,20141103170000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,99,52,19,6,13,9,18,14,1018,71,2,20141103170000
