locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,21,5,27,11,3,5,-8,-20,1033,38,4,20141201170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,22,18,23,11,2,4,-8,-20,1033,38,4,20141201170000
3,West Park officials,,39.930333,116.345162,42,21,22,21,3,5,-8,-20,1033,38,2,20141201170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,18,5,25,16,3,6,-8,-20,1033,38,4,20141201170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,38,16,21,12,4,5,-8,-20,1033,38,4,20141201170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,47,14,33,19,6,4,-8,-20,1033,38,4,20141201170000
7,Haidian Wanliu,,39.988245,116.293062,51,15,15,25,4,5,-8,-20,1033,38,4,20141201170000
8,The Haidian northern New Area,,40.091313,116.180194,61,28,10,17,3,5,-8,-20,1033,38,4,20141201170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,58,15,21,15,4,6,-8,-20,1033,38,4,20141201170000
10,Fengtai garden,,39.86423,116.285037,53,14,3,20,5,6,-8,-20,1033,38,4,20141201170000
11,Fengtai Yungang,,39.82535,116.152237,79,48,12,24,9,5,-8,-20,1033,38,4,20141201170000
12,Shijingshan city,,39.915286,116.190144,61,25,22,15,6,6,-8,-20,1033,38,4,20141201170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,75,32,9,25,11,8,-8,-20,1033,38,4,20141201170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,53,17,4,24,7,6,-8,-20,1033,38,4,20141201170000
15,BDA,,39.796197,116.51197,58,15,15,20,7,6,-8,-20,1033,38,4,20141201170000
16,Tongzhou New Town,,39.887113,116.6689,50,16,14,17,6,5,-8,-20,1033,38,4,20141201170000
17,Shunyi New Town ,,40.128111,116.660908,46,20,25,12,4,5,-8,-20,1033,38,2,20141201170000
18,Changping Town,,40.218245,116.236084,23,10,26,3,2,5,-8,-20,1033,38,4,20141201170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,51,18,15,14,13,4,-8,-20,1033,38,4,20141201170000
20,Pinggu town,,40.144433,117.106563,26,6,22,5,2,4,-8,-20,1033,38,4,20141201170000
21,Huairou town,,40.329104,116.63387,34,5,28,3,2,3,-8,-20,1033,38,4,20141201170000
22,The town of Miyun,,40.371186,116.838053,47,10,23,5,4,3,-8,-20,1033,38,4,20141201170000
23,Yanqing town,,40.454217,115.978106,63,17,21,10,2,3,-8,-20,1033,38,4,20141201170000
24,Changping Dingling,,40.293269,116.226108,25,6,29,1,5,6,-8,-20,1033,38,4,20141201170000
25,Badaling Northwest,,40.36623,115.994146,32,8,10,15,4,1,-8,-20,1033,38,4,20141201170000
26,Miyun Reservoir,,40.500157,116.91701,13,10,27,2,2,1,-8,-20,1033,38,4,20141201170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,28,29,20,4,2,4,-8,-20,1033,38,4,20141201170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,69,29,4,32,5,8,-8,-20,1033,38,4,20141201170000
29,"Yufazhen, Daxing",,39.521203,116.306026,80,37,8,21,6,7,-8,-20,1033,38,4,20141201170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,95,52,10,30,10,7,-8,-20,1033,38,4,20141201170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,52,20,17,10,2,5,-8,-20,1033,38,4,20141201170000
32,Yongdingmen Inner St,,39.877401,116.400238,44,13,20,22,3,4,-8,-20,1033,38,4,20141201170000
33,Xizhimen N St,,39.955352,116.355187,29,10,11,14,5,7,-8,-20,1033,38,4,20141201170000
34,South Ring Road,,39.857377,116.37421,67,19,5,25,6,7,-8,-20,1033,38,4,20141201170000
35,East Fourth Ring Road,,39.940273,116.489075,61,55,12,27,7,7,-8,-20,1033,38,4,20141201170000
36,Beijing,,39.955906,116.474246,57,5,18,11,3,5,-8,-20,1033,38,4,20141201170000
37,Putuo,,31.232979,121.415378,76,63,17,25,10,4,2,-9,1030,44,4,20141201170000
38,Yangpu Sipiao,,31.263795,121.540311,53,58,26,17,9,10,2,-9,1030,44,4,20141201170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,70,56,24,22,14,7,2,-9,1030,44,4,20141201170000
40,Dianshan Lake,,31.091338,120.982293,75,74,23,7,11,8,2,-9,1030,44,4,20141201170000
41,Hongkou Liangcheng,,31.298906,121.47155,63,55,25,18,13,7,2,-9,1030,44,4,20141201170000
42,Jingan,,31.224251,121.429637,76,61,18,22,14,6,2,-9,1030,44,4,20141201170000
43,Shanghai Normal University,,31.163531,121.416643,93,62,28,20,13,3,2,-9,1030,44,4,20141201170000
44,Chuansha,,31.188626,121.707342,85,57,26,14,8,3,2,-9,1030,44,4,20141201170000
