locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,264,-,37,17,2,18,24,23,1008,94,1,20140730170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,254,135,41,17,2,17,24,23,1008,94,1,20140730170000
3,West Park officials,,39.930333,116.345162,242,135,42,15,2,17,24,23,1008,94,1,20140730170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,236,128,42,23,2,18,24,23,1008,94,1,20140730170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,263,-,34,21,2,15,24,23,1008,94,1,20140730170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,226,129,43,16,3,18,24,23,1008,94,1,20140730170000
7,Haidian Wanliu,,39.988245,116.293062,268,151,38,19,3,14,24,23,1008,94,1,20140730170000
8,The Haidian northern New Area,,40.091313,116.180194,218,-,34,21,3,15,24,23,1008,94,1,20140730170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,188,-,41,14,2,19,24,23,1008,94,1,20140730170000
10,Fengtai garden,,39.86423,116.285037,244,-,46,15,2,17,24,23,1008,94,1,20140730170000
11,Fengtai Yungang,,39.82535,116.152237,226,-,44,22,2,16,24,23,1008,94,1,20140730170000
12,Shijingshan city,,39.915286,116.190144,255,153,44,39,2,16,24,23,1008,94,1,20140730170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,236,-,37,24,2,16,24,23,1008,94,1,20140730170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,238,-,39,30,3,17,24,23,1008,94,1,20140730170000
15,BDA,,39.796197,116.51197,249,-,37,19,2,18,24,23,1008,94,1,20140730170000
16,Tongzhou New Town,,39.887113,116.6689,228,-,22,28,2,16,24,23,1008,94,1,20140730170000
17,Shunyi New Town ,,40.128111,116.660908,261,125,34,17,2,18,24,23,1008,94,1,20140730170000
