locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1056,"Toll office, Wulumuqi",,43.76923,87.607438,93,120,20,44,3,7,25,12,1013,44,3,20140821170000
1057,"Xinjiang Academy of Agricultural Farms, Wulumuqi",,43.948277,87.478589,163,73,30,49,13,5,26,13,1013,44,2,20140821170000
1,Dongcheng Dongsi,,39.9304,116.423239,67,50,100,18,2,11,25,17,1009,61,4,20140821170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,80,28,107,15,2,10,25,17,1009,61,4,20140821170000
1058,"Railway Bureau, Wulumuqi",,43.872315,87.555404,180,153,28,61,6,10,25,12,1013,44,3,20140821170000
3,West Park officials,,39.930333,116.345162,76,72,107,17,2,10,25,17,1009,61,4,20140821170000
1059,"No.31 middle school, Wulumuqi",,43.832235,87.646092,76,60,26,30,5,5,25,12,1013,44,3,20140821170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,68,106,109,18,2,11,25,17,1009,61,4,20140821170000
1060,"No.74 middle school, Wulumuqi",,43.874429,87.420418,132,135,31,42,3,6,25,12,1013,44,3,20140821170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,84,67,92,18,2,8,25,17,1009,61,4,20140821170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,76,49,120,18,2,9,25,17,1009,61,4,20140821170000
7,Haidian Wanliu,,39.988245,116.293062,54,59,65,18,2,8,25,17,1009,61,4,20140821170000
1061,"Midong district EPA bureau, Wulumuqi",,43.963156,87.647302,109,127,29,34,10,4,25,12,1013,44,3,20140821170000
1062,Wulumuqi,,43.82685,87.619673,169,128,26,52,5,8,25,12,1013,44,3,20140821170000
8,The Haidian northern New Area,,40.091313,116.180194,65,129,48,10,4,8,25,17,1009,61,4,20140821170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,63,126,143,4,2,10,25,17,1009,61,4,20140821170000
10,Fengtai garden,,39.86423,116.285037,61,34,111,17,2,10,25,17,1009,61,4,20140821170000
1066,"Baijiantan District, Karamay",,45.689445,84.126445,74,54,39,-,1,8,30,4,1008,11,4,20140821170000
11,Fengtai Yungang,,39.82535,116.152237,82,27,96,6,2,11,25,17,1009,61,4,20140821170000
12,Shijingshan city,,39.915286,116.190144,79,54,0,9,2,0,25,17,1009,61,4,20140821170000
1067,"Chengzheng New Village, Karamay",,45.604135,84.888518,104,57,86,2,3,13,30,4,1008,11,4,20140821170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,75,30,75,12,2,12,25,17,1009,61,4,20140821170000
1068,"Dushanzi District, Karamay",,44.343598,84.90652,65,53,45,4,10,18,30,4,1008,11,4,20140821170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,76,103,114,12,2,10,25,17,1009,61,4,20140821170000
1069,"Wuerhequ trade buidling, Karamay",,46.090638,85.695354,154,89,87,3,1,12,30,4,1008,11,4,20140821170000
15,BDA,,39.796197,116.51197,76,127,119,14,2,10,25,17,1009,61,4,20140821170000
16,Tongzhou New Town,,39.887113,116.6689,65,21,80,20,2,16,25,17,1009,61,4,20140821170000
17,Shunyi New Town ,,40.128111,116.660908,71,23,0,14,2,0,25,17,1009,61,4,20140821170000
18,Changping Town,,40.218245,116.236084,83,52,152,16,2,9,25,17,1009,61,4,20140821170000
