locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,155,91,3,36,10,12,2,-9,1028,44,2,20141114170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,156,82,4,33,4,13,2,-9,1028,44,2,20141114170000
3,West Park officials,,39.930333,116.345162,163,88,2,43,12,10,2,-9,1028,44,2,20141114170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,174,104,2,41,9,13,2,-9,1028,44,2,20141114170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,172,102,2,45,15,11,2,-9,1028,44,2,20141114170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,187,128,2,48,15,11,2,-9,1028,44,2,20141114170000
7,Haidian Wanliu,,39.988245,116.293062,169,115,1,42,11,14,2,-9,1028,44,2,20141114170000
8,The Haidian northern New Area,,40.091313,116.180194,183,101,2,31,10,18,2,-9,1028,44,2,20141114170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,151,63,7,31,7,8,2,-9,1028,44,2,20141114170000
10,Fengtai garden,,39.86423,116.285037,179,121,2,41,16,15,2,-9,1028,44,2,20141114170000
11,Fengtai Yungang,,39.82535,116.152237,161,85,2,37,14,11,2,-9,1028,44,2,20141114170000
12,Shijingshan city,,39.915286,116.190144,157,81,4,32,10,16,2,-9,1028,44,2,20141114170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,193,122,3,35,9,15,2,-9,1028,44,2,20141114170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,186,103,3,37,20,10,2,-9,1028,44,2,20141114170000
15,BDA,,39.796197,116.51197,165,68,7,33,12,8,2,-9,1028,44,2,20141114170000
16,Tongzhou New Town,,39.887113,116.6689,284,174,2,42,43,16,2,-9,1028,44,2,20141114170000
17,Shunyi New Town ,,40.128111,116.660908,185,119,5,34,16,14,2,-9,1028,44,2,20141114170000
18,Changping Town,,40.218245,116.236084,164,88,5,32,13,12,2,-9,1028,44,2,20141114170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,147,63,4,28,10,15,2,-9,1028,44,2,20141114170000
20,Pinggu town,,40.144433,117.106563,144,53,10,14,6,9,2,-9,1028,44,2,20141114170000
21,Huairou town,,40.329104,116.63387,81,49,6,15,5,9,2,-9,1028,44,2,20141114170000
22,The town of Miyun,,40.371186,116.838053,152,57,3,22,10,9,2,-9,1028,44,2,20141114170000
23,Yanqing town,,40.454217,115.978106,173,72,6,24,11,14,2,-9,1028,44,2,20141114170000
24,Changping Dingling,,40.293269,116.226108,122,56,5,19,7,8,2,-9,1028,44,2,20141114170000
25,Badaling Northwest,,40.36623,115.994146,80,39,8,19,9,6,2,-9,1028,44,2,20141114170000
26,Miyun Reservoir,,40.500157,116.91701,56,14,23,6,2,3,2,-9,1028,44,2,20141114170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,102,48,23,14,8,4,2,-9,1028,44,2,20141114170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,185,85,5,42,11,11,2,-9,1028,44,2,20141114170000
29,"Yufazhen, Daxing",,39.521203,116.306026,182,95,6,33,6,9,2,-9,1028,44,2,20141114170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,273,161,10,35,9,12,2,-9,1028,44,2,20141114170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,175,99,2,36,16,16,2,-9,1028,44,2,20141114170000
32,Yongdingmen Inner St,,39.877401,116.400238,178,105,2,41,16,17,2,-9,1028,44,2,20141114170000
33,Xizhimen N St,,39.955352,116.355187,169,115,2,36,15,13,2,-9,1028,44,2,20141114170000
34,South Ring Road,,39.857377,116.37421,192,127,1,41,19,16,2,-9,1028,44,2,20141114170000
35,East Fourth Ring Road,,39.940273,116.489075,194,133,2,41,4,16,2,-9,1028,44,2,20141114170000
36,Beijing,,39.955906,116.474246,194,80,5,34,9,11,2,-9,1028,44,2,20141114170000
37,Putuo,,31.232979,121.415378,117,69,21,37,10,5,12,2,1028,51,2,20141114170000
38,Yangpu Sipiao,,31.263795,121.540311,154,73,17,57,9,7,12,2,1028,51,2,20141114170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,152,71,18,59,12,10,12,2,1028,51,2,20141114170000
40,Dianshan Lake,,31.091338,120.982293,165,80,15,51,11,8,12,2,1028,51,2,20141114170000
41,Hongkou Liangcheng,,31.298906,121.47155,153,69,17,55,12,8,12,2,1028,51,2,20141114170000
42,Jingan,,31.224251,121.429637,142,63,23,35,12,8,12,2,1028,51,2,20141114170000
43,Shanghai Normal University,,31.163531,121.416643,156,78,14,66,10,10,12,2,1028,51,2,20141114170000
44,Chuansha,,31.188626,121.707342,142,63,15,39,7,6,12,2,1028,51,2,20141114170000
45,Zhangjiang,,31.204896,121.581215,147,68,15,42,8,7,12,2,1028,51,2,20141114170000
46,Lingshan Road,,31.226286,121.537317,151,68,61,42,7,6,12,2,1028,51,2,20141114170000
1080,City average,,31.228451,121.478227,151,69,18,47,10,7,12,2,1028,51,2,20141114170000
47,Shanghai,,31.202842,121.453493,149,75,21,59,12,7,12,2,1028,51,2,20141114170000
48,Guangzhou,,23.138517,113.263701,132,47,17,28,2,12,18,15,1020,83,1,20141114170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,155,60,23,33,15,8,18,15,1020,83,2,20141114170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,124,46,28,8,6,9,18,15,1020,83,2,20141114170000
51,"LuHu, Guangzhou",,23.151743,113.281842,102,45,11,22,3,11,18,15,1020,83,2,20141114170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,112,50,33,4,6,7,18,15,1020,83,2,20141114170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,155,60,28,33,15,8,18,15,1020,83,2,20141114170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,91,62,22,32,5,3,18,15,1020,83,2,20141114170000
55,Zhuhai,,22.2677,113.581765,153,53,31,14,2,12,22,18,1019,78,3,20141114170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,97,51,21,39,9,6,18,15,1020,83,2,20141114170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,160,65,25,34,16,10,18,15,1020,83,2,20141114170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,102,53,17,34,7,16,18,15,1020,83,2,20141114170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,155,57,18,33,13,14,18,15,1020,83,2,20141114170000
1087,Foshan,,23.018995,113.126899,102,53,17,34,7,16,18,15,1020,83,2,20141114170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,155,62,19,34,11,14,18,15,1020,83,2,20141114170000
60,Shunde,,22.80246,113.298701,152,65,15,37,21,9,-,-,0,-,-,20141114170000
61,"Donghu, Jiangmen",,22.590411,113.087351,159,61,16,36,8,10,22,18,1019,78,3,20141114170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,172,91,32,23,10,13,22,18,1019,78,3,20141114170000
63,Jiangmen,,22.576047,113.087351,159,61,16,36,8,10,22,18,1019,78,3,20141114170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,164,80,28,23,21,11,18,15,1020,83,1,20141114170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,161,83,23,32,19,11,18,15,1020,83,1,20141114170000
67,Zhaoqing,,23.044571,112.470346,164,92,33,24,22,9,18,15,1020,83,1,20141114170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,129,58,29,9,6,8,21,15,1020,68,3,20141114170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,142,71,16,12,9,5,21,15,1019,68,4,20141114170000
69,"Xijiao, Huizhou",,23.338178,114.112867,112,44,19,9,8,11,21,15,1020,68,3,20141114170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,119,58,21,11,10,5,21,15,1019,68,4,20141114170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,149,55,15,19,7,9,21,15,1019,68,4,20141114170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,152,70,18,26,5,8,21,15,1019,68,4,20141114170000
73,Huizhou,,23.109349,114.421164,119,58,21,11,10,5,21,15,1019,68,4,20141114170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,132,57,17,12,15,11,21,15,1019,68,4,20141114170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,151,57,20,16,14,8,21,15,1019,68,4,20141114170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,154,62,12,27,11,11,21,15,1019,68,4,20141114170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,142,61,20,18,16,12,21,15,1019,68,4,20141114170000
78,Dongguan,,23.017813,113.756958,142,61,20,18,16,12,21,15,1019,68,4,20141114170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,152,72,15,22,11,9,22,18,1019,78,3,20141114170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,153,54,17,17,4,9,22,18,1019,78,3,20141114170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,50,73,14,24,11,13,22,18,1019,78,3,20141114170000
82,Zhongshan,,22.513997,113.398277,152,72,15,22,11,9,22,18,1019,78,3,20141114170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,160,69,24,12,12,12,17,10,1022,54,2,20141114170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,160,69,24,12,12,12,17,10,1022,54,2,20141114170000
84,"Forest area, Shaoguan",,24.796107,113.612131,153,62,25,12,10,10,17,10,1022,54,2,20141114170000
84,"Forest area, Shaoguan",,24.796106,113.612131,153,62,25,12,10,10,17,10,1022,54,2,20141114170000
137,Nanyou,,22.513802,113.928051,151,83,20,35,6,15,21,15,1020,68,3,20141114170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,153,74,28,13,9,7,17,10,1022,54,2,20141114170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,153,74,28,13,9,7,17,10,1022,54,2,20141114170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,162,79,23,34,10,10,17,10,1022,54,2,20141114170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,162,79,23,34,10,10,17,10,1022,54,2,20141114170000
89,Shaoguan,,24.807342,113.602712,153,62,25,12,10,10,17,10,1022,54,2,20141114170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,93,41,34,12,4,11,17,14,1021,82,2,20141114170000
91,Shantou,,23.350642,116.686306,93,44,44,13,5,10,17,14,1021,82,2,20141114170000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,132,52,49,8,4,8,22,18,1018,74,3,20141114170000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,95,57,48,12,6,5,22,18,1018,74,3,20141114170000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,132,55,43,8,11,10,22,18,1018,74,3,20141114170000
95,"Zhanjiang Theatre, Zhanjiang",,21.268177,110.366445,157,60,46,5,5,3,22,18,1018,74,3,20141114170000
96,"Mazhang EPA, Zhanjiang",,21.265486,110.335993,151,55,15,7,7,14,22,18,1018,74,3,20141114170000
97,"Potou District EPB, Zhanjiang",,21.247604,110.454508,153,64,43,7,4,15,22,18,1018,74,3,20141114170000
98,Zhanjiang,,21.26832,110.363883,157,60,46,5,5,3,22,18,1018,74,3,20141114170000
99,"Maogang sub-office EPB, Maoming",,21.466435,111.033462,160,70,58,5,6,7,21,17,0,78,5,20141114170000
100,"Petrochemical No. 7 elementaty school, Maoming",,21.648905,110.937861,162,69,44,9,6,9,21,17,0,78,5,20141114170000
101,"Jiankang road, Maoming",,21.662211,110.909482,158,71,31,15,6,12,21,17,0,78,5,20141114170000
102,"Gaoling, Maoming",,21.690558,110.871146,158,74,32,17,40,9,21,17,0,78,5,20141114170000
1094,Maoming,,21.660223,110.929968,158,71,31,15,6,12,21,17,0,78,5,20141114170000
103,"Jiaying University, Meizhou",,24.325415,116.12816,119,41,16,10,5,12,17,14,1021,82,2,20141114170000
104,"Mexian new town, Meizhou",,24.269283,116.084546,127,56,10,10,5,12,17,14,1021,82,2,20141114170000
105,"Environmental Monitoring Center, Meizhou",,24.262778,116.129621,119,54,11,12,5,11,17,14,1021,82,2,20141114170000
1095,Meizhou,,24.285988,116.127065,119,54,11,12,5,11,17,14,1021,82,2,20141114170000
106,"City EPA, Shanwei",,22.772349,115.370227,107,47,57,4,7,11,20,16,1021,74,1,20141114170000
107,"City government, Shanwei",,22.787161,115.375536,122,54,51,6,8,9,20,16,1021,74,1,20141114170000
108,"Xincheng Middle School, Shanwei",,22.789851,115.367124,112,54,38,6,4,12,20,16,1021,74,1,20141114170000
1099,Shanwei,,22.783576,115.38022,112,54,38,6,4,12,20,16,1021,74,1,20141114170000
109,"No.3 elementary school, Heyuan",,23.75435,114.703514,112,38,14,12,8,11,17,13,1021,69,1,20141114170000
109,"No.3 elementary school, Heyuan",,23.755946,114.699091,112,38,14,12,8,11,17,13,1021,69,1,20141114170000
111,"City water company, Heyuan",,23.754246,114.682459,158,62,10,22,9,12,17,13,1021,69,1,20141114170000
111,"City water company, Heyuan",,23.688709,114.954652,158,62,10,22,9,12,17,13,1021,69,1,20141114170000
113,"Heyuan high school, Heyuan",,23.720037,114.699563,114,46,16,10,9,10,17,13,1021,69,1,20141114170000
113,"Heyuan high school, Heyuan",,23.720666,114.693879,114,46,16,10,9,10,17,13,1021,69,1,20141114170000
115,Heyuan,,23.740888,114.705147,114,46,16,10,9,10,17,13,1021,69,1,20141114170000
116,"Yuanyang Lake, Yangjiang",,21.855869,111.983676,182,100,44,25,18,9,19,13,1019,59,7,20141114170000
