locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,207,-,75,15,2,10,27,24,1001,84,2,20140802170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,190,88,89,15,2,8,27,24,1001,84,2,20140802170000
3,West Park officials,,39.930333,116.345162,192,88,89,17,2,10,27,24,1001,84,2,20140802170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,187,83,81,9,2,10,27,24,1001,84,2,20140802170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,196,109,65,28,2,7,27,24,1001,84,2,20140802170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,186,81,132,15,2,10,27,24,1001,84,2,20140802170000
7,Haidian Wanliu,,39.988245,116.293062,199,103,44,41,4,9,27,24,1001,84,2,20140802170000
8,The Haidian northern New Area,,40.091313,116.180194,198,-,40,20,5,10,27,24,1001,84,2,20140802170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,209,-,116,11,2,16,27,24,1001,84,2,20140802170000
10,Fengtai garden,,39.86423,116.285037,198,-,69,24,2,9,27,24,1001,84,2,20140802170000
11,Fengtai Yungang,,39.82535,116.152237,193,-,66,19,2,9,27,24,1001,84,2,20140802170000
12,Shijingshan city,,39.915286,116.190144,204,130,76,31,2,10,27,24,1001,84,2,20140802170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,200,-,44,36,2,10,27,24,1001,84,2,20140802170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,194,-,44,32,4,9,27,24,1001,84,2,20140802170000
15,BDA,,39.796197,116.51197,196,-,50,44,2,9,27,24,1001,84,2,20140802170000
16,Tongzhou New Town,,39.887113,116.6689,207,135,38,50,2,7,27,24,1001,84,2,20140802170000
17,Shunyi New Town ,,40.128111,116.660908,226,92,93,22,2,9,27,24,1001,84,2,20140802170000
18,Changping Town,,40.218245,116.236084,198,107,181,13,2,10,27,24,1001,84,2,20140802170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,184,-,53,14,2,10,27,24,1001,84,2,20140802170000
20,Pinggu town,,40.144433,117.106563,190,-,95,8,2,9,27,24,1001,84,2,20140802170000
21,Huairou town,,40.329104,116.63387,219,120,154,20,2,11,27,24,1001,84,2,20140802170000
22,The town of Miyun,,40.371186,116.838053,185,-,171,7,2,10,27,24,1001,84,2,20140802170000
23,Yanqing town,,40.454217,115.978106,231,-,183,7,2,10,27,24,1001,84,2,20140802170000
24,Changping Dingling,,40.293269,116.226108,194,104,202,8,2,10,27,24,1001,84,2,20140802170000
25,Badaling Northwest,,40.36623,115.994146,183,-,126,12,2,12,27,24,1001,84,2,20140802170000
26,Miyun Reservoir,,40.500157,116.91701,184,-,148,2,2,10,27,24,1001,84,2,20140802170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,179,-,121,9,4,6,27,24,1001,84,2,20140802170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,191,-,34,31,8,6,27,24,1001,84,2,20140802170000
29,"Yufazhen, Daxing",,39.521203,116.306026,188,-,27,4,2,9,27,24,1001,84,2,20140802170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,185,119,31,33,21,7,27,24,1001,84,2,20140802170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,200,-,30,51,2,10,27,24,1001,84,2,20140802170000
32,Yongdingmen Inner St,,39.877401,116.400238,196,88,50,68,2,10,27,24,1001,84,2,20140802170000
33,Xizhimen N St,,39.955352,116.355187,-,109,42,25,5,12,27,24,1001,84,2,20140802170000
34,South Ring Road,,39.857377,116.37421,195,91,215,37,3,13,27,24,1001,84,2,20140802170000
35,East Fourth Ring Road,,39.940273,116.489075,197,-,43,78,50,10,27,24,1001,84,2,20140802170000
36,Beijing,,39.955906,116.474246,194,81,132,15,2,10,27,24,1001,84,2,20140802170000
37,Putuo,,31.232979,121.415378,112,71,18,21,8,3,26,25,998,94,4,20140802170000
38,Yangpu Sipiao,,31.263795,121.540311,113,66,27,20,11,9,26,25,998,94,4,20140802170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,121,63,18,25,7,7,26,25,998,94,4,20140802170000
40,Dianshan Lake,,31.091338,120.982293,132,60,20,14,7,9,26,25,998,94,4,20140802170000
41,Hongkou Liangcheng,,31.298906,121.47155,105,66,17,20,12,6,26,25,998,94,4,20140802170000
42,Jingan,,31.224251,121.429637,119,69,19,20,10,7,26,25,998,94,4,20140802170000
43,Shanghai Normal University,,31.163531,121.416643,120,55,22,19,9,5,26,25,998,94,4,20140802170000
44,Chuansha,,31.188626,121.707342,80,68,16,20,9,6,26,25,998,94,4,20140802170000
45,Zhangjiang,,31.204896,121.581215,165,76,22,25,7,5,26,25,998,94,4,20140802170000
46,Lingshan Road,,31.226286,121.537317,45,74,20,22,14,6,26,25,998,94,4,20140802170000
1080,City average,,31.228451,121.478227,114,67,20,21,10,6,26,25,998,94,4,20140802170000
47,Shanghai,,31.202842,121.453493,121,69,19,25,10,7,26,25,998,94,4,20140802170000
48,Guangzhou,,23.138517,113.263701,82,30,220,28,2,9,26,23,1003,83,1,20140802170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,107,41,116,6,2,8,26,23,1003,83,1,20140802170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,117,58,123,12,2,10,26,23,1003,83,1,20140802170000
51,"LuHu, Guangzhou",,23.151743,113.281842,68,24,91,30,2,5,26,23,1003,83,1,20140802170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,91,29,187,1,4,6,26,23,1003,83,1,20140802170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,112,51,134,13,4,8,26,24,1003,89,2,20140802170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,50,30,110,24,5,8,26,23,1003,83,1,20140802170000
55,Zhuhai,,22.225269,113.304202,76,30,37,13,6,10,28,25,1003,84,11,20140802170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,85,30,95,17,7,7,26,23,1003,83,1,20140802170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,104,45,46,18,5,7,26,23,1003,83,1,20140802170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,152,74,193,13,7,9,28,24,999,79,8,20140802170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,104,44,65,11,4,7,26,23,1003,83,1,20140802170000
1087,Foshan,,22.999349,113.110189,85,30,127,20,7,7,26,23,1003,83,1,20140802170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,151,51,102,11,12,12,26,23,1003,83,1,20140802170000
